County,SubCounty,Ward,sub location,lat,long,locality(Crush/Abattoir/Village/market),Date of start of outbreak,month,year,date,Month,year,Disease/Condition,Nature of diagnosis (clinical/lab/pm),Test used (if Laboratory),Species,No. at Risk,No. sick,Deaths,Slaughtered *,Destroyed **,"Production System(Intensive, Extensive, Mixed)",If Zoonosis No. of human beings affected,Disease Control Measure Undertaken***,No.of animals vaccinated,"Organisation (GOK, Private)",Source,,
Kericho,Soin/Sigowet,Kapchanga,,-0.178424,35.418837,Village,,June,2014,18/10/2017,June,2014,Anthrax,Lab,,Bovine,1,1,1,0,0,,,,,GOK,,,
kiambu,Githuguri,maso,,-1.039952,36.827818,Village,,December,2014,18/10/2017,December,2014,Rabies,Lab,,Bovine,3,1,1,0,0,,,,,GOK,,,
Makueni,kaiti,Nzukini()*,,-2.102768,37.630459,Village,,December,2014,20/10/2017,December,2014,Rabies,Lab,,canine,15,1,0,0,1,,,,,GOK,,,
Makueni,Makindu,Kiboko(214:18:2),,-2.167914,37.869386,Village,,November,2014,23/10/2017,November,2014,RVF,Lab,,Caprine,214,18,2,0,0,,,,,GOK,,,
Murang'a,Murang'a East,Mathioya,,-0.683621,37.100552,Village,,August,2014,23/10/2017,August,2014,Rabies,Clinical,,Canine,3600,3,1,0,0,,,,,GOK,,,
Nairobi,Kasarani-,Kamiti Medium Prison Farm,,-1.220068,36.900776,Village,,July,2014,24/10/2017,July,2014,Anthrax,Clinical,,Bovine,24,5,2,0,0,,,,,GOK,,,
Nakuru,Naivasha,Naivasha-Karati;Kuresoi North,,-0.343878,35.677225,Village,,July,2014,30/10/2017,July,2014,Anthrax,Clinical,,Bovine,6550,26,6,0,0,,,,,GOK,,,
Nakuru,Naivasha,"Kongoni,Ngondi",,-0.343878,35.677225,Village,,July,2014,02/11/2017,July,2014,Rabies,Clinical,,Canine,1000,6,0,0,6,,,,,GOK,,,
Nakuru,Njoro,Malela;Njoro,,-0.343878,35.677225,Village,,July,2014,05/11/2017,July,2014,Rabies,Clinical,,Canine,356,9,0,0,9,,,,,GOK,,,
Nakuru,Nakuru West,Kuresoi North,,-0.303895,35.556929,Village,,June,2014,12/11/2017,June,2014,Anthrax,Clinical,,Bovine,6550,26,6,0,0,,,,,GOK,,,
Nakuru,Naivasha,Subukia,,-0.769024,36.505743,Village,,June,2014,12/11/2017,June,2014,Rabies,Clinical,,Bovine,50,1,0,0,0,,,,,GOK,,,
Nakuru,Naivasha,"Subukia,Naivasha Central",,-0.769024,36.505743,Village,,June,2014,15/11/2017,June,2014,Rabies,Clinical,,Canine,1050,1,1,0,0,,,,,GOK,,,
Nakuru,Naivasha,Ndabibi,,-0.70791,36.188894,Village,,September,2014,15/11/2017,September,2014,Rabies,Clinical,,Bovine,3,1,0,0,0,,,,,GOK,,,
Nakuru,Kiptoror Ward,Kiptoror,,-0.3485,35.479446,Village,,July,2014,15/11/2017,July,2014,Anthrax,clinical,,Bovine,3000,6,6,0,0,,,,,GOK,,,
Nakuru,Nakuru West,Baruti,,-0.501121,35.922186,Village,,July,2014,16/11/2017,July,2014,Anthrax,Lab,,Caprine/Ovine,8,2,0,0,0,,,,,GOK,,,
Narok,Narok North,No data,,-1.110366,35.854713,Village,,July,2014,17/11/2017,July,2014,Rabies,Clinical,,Canine,500,2,0,0,2,,,,,GOK,,,
Nyeri,Nyeri central,Kiganjo(133:1:0),,-0.380757,37.000742,Village,,November,2014,19/11/2017,November,2014,Brucellosis,Lab,,Bovine,8,1,0,0,0,,,,,GOK,,,
Sotik,Abosi,Abosi,,-0.88748,35.079521,Village,,September,2014,22/11/2017,September,2014,Rabies,Clinical,,Canine,5,1,0,0,0,,,,,GOK,,,
Uasin Gishu,UasinGishu,Makonge,,0.034749,35.990719,Village,,October,2014,22/11/2017,October,2014,Brucellosis,Lab,,Bovine,15,2,0,0,0,,,,,GOK,,,
West Pokot,Pokot North,No data,,2.437105,35.173184,Village,,June,2014,24/11/2017,June,2014,Rabies,Clinical,,Caprine,15,2,1,0,0,,,,,GOK,,,
West Pokot,Pokot North,No data,,2.437105,35.173184,Village,,June,2014,27/11/2017,June,2014,Rabies,Clinical,,Canine,4,1,1,,,,,,,GOK,,,
Bomet,Sotik,Kapkelei,Kamambwai,-0.79372,35.125847,Village,24,12,2015,28/11/2017,December,2015,Rabies,Clinical,ND,BOVINE,20,1,0,0,0,Mixed,0,Vaccination,30,Private,Bomet county,,
Bomet,Sotik,Abose,Kapchumbe,,,ND,,May,2015,28/11/2017,May,2015,Rabies,Lab,ND,Bovine,3,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Bomet,Sotik,Abose,Abose,,,ND,,May,2015,28/11/2017,May,2015,Rabies,Lab,ND,Bovine,3,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Bomet,Sotik,Kaptulwo,Kapkoros,,,ND,,May,2015,29/11/2017,May,2015,Rabies,Lab,ND,Bovine,10,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Busia,Busia,Busia,Nambobot,,,ND,,July,2015,30/11/2017,July,2015,Rabies,Lab,ND,Canine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Elgeiyo Marakwet,Ainabkoi,Chepng'oror,Tingwa,0.215969,35.509152,ND,10,10,2015,03/11/2017,October,2015,Rabies,Lab,ND,RAT,40,1,1,0,0,ND,0,Vaccinate,ND,,,,
Elgeyo marakwet,Elgeyo Marakwet,Kabele,Kabele,,,ND,42039,February,2015,05/12/2017,February,2015,Rabies,Lab,ND,Bovine,10,1,1,0,1,0,N/A,ND,ND,ND,ND,,
Garissa,Garissa,Bangale,Bangale,,,ND,42038,March,2015,07/12/2017,March,2015,Brucellosis,Lab,ND,Camelidae,6,1,0,0,0,0,N/A,ND,ND,ND,ND,,
Garissa ,Fafi,Bura ,,-0.923301,40.280714,Village,11,12,2015,14/12/2017,December,2015,RVF,Lab,ELISA ,Caprine ,ND,1,0,0,0,Pastolarism ,0,Vaccination ,ND,GOK ,Garissa county,,
Garissa ,Fafi,Bura ,,-0.923301,40.280714,Village,11,12,2015,12/12/2017,December,2015,RVF,Lab,ELISA ,Ovine ,ND,1,0,0,0,Pastolarism ,0,Vaccination ,ND,GOK,Garissa county,,
Garissa ,Fafi,Bura,,-0.923301,40.280714,Village,11,12,2015,20/12/2017,December,2015,Brucellosis,Lab,RBPT,Caprine ,350,1,0,0,0,Pastolarism ,0,Vaccination ,ND,GOK,Garissa county,,
Garissa ,Fafi,Bura,,-0.923301,40.280714,Village,11,12,2015,18/12/2017,December,2015,Brucellosis,Lab,RBPT,Ovine ,200,1,0,0,0,Pastolarism ,0,N/A,ND,N/A,Garissa county,,
Kajiado,Kitengela,Kitengela,Kitengela,,,ND,,July,2015,01/07/1900,July,2015,Rabies,Lab,ND,Canine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Kajiado,Magadi,Magadi,Magadi,,,ND,,July,2015,06/11/2017,July,2015,Rabies,Lab,ND,Canine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Karatina,Othaya,Othaya,Othaya,,,ND,,July,2015,,July,2015,Rabies,Lab,ND,Canine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Karatina,Karatina,Karatina,Karatina,,,ND,,July,2015,01/06/1900,July,2015,Rabies,Lab,ND,Bovine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Kericho,Bureti,Kusumek,Kusumek,35.182403,-0.545142,Village,15,10,2015,01/06/1900,October,2015,Rabies,Lab,"RAT, Seller's",Bovine,4,1,1,0,0,Mixed,0,ND,ND,Private ,Kericho,,
Kericho,Kericho West,Kaborok,Kaborok,-0.385998,35.17,Village,26,11,2015,01/04/1900,December,2015,Rabies,Lab,RAT & Sellers stain,Bovine,3,1,1,0,0,Mixed,0,Advised treatment/tick control,,GOK,Kericho RVIL,,
Kericho,Kericho west,Kericho west,Kapsomboch,,,ND,42044,February,2015,1/14/1900,February,2015,Anthrax,Lab,ND,caprine,150,5,5,0,0,0,N/A,ND,ND,ND,ND,,
Kericho,Bureti,Chemosot,Chemosot,,,ND,,May,2015,1/19/1900,May,2015,Rabies,Lab,ND,Bovine,8,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Kericho,Kericho East,Town,Township,,,ND,,May,2015,1/27/1900,May,2015,Rabies,Lab,ND,Bovine,4,2,2,0,1,ND,ND,ND,ND,ND,ND,,
Kericho,Kericho East,Kipchimchim,Kipchimchim,,,ND,,June,2015,01/03/1900,June,2015,Rabies,Lab,ND,Bovine,6,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Kericho,Kericho West,Waldai,Sosiot,-0.296836,35.953295,ND,,August,2015,01/12/1900,August,2015,Rabies,Lab,ND,Bovine,3,1,1,0,0,0,ND,ND,ND,ND,ND,,
Kericho,Kericho West,Waldai,Sosiot,-0.355136,35.163809,ND,,August,2015,1/16/1900,August,2015,Rabies,Lab,ND,Bobine,3,1,1,0,0,0,ND,ND,ND,ND,ND,,
Kericho,Kericho East,Kapsaos,Maso,35.316438,-0.298979,ND,42263,September,2015,01/10/1900,Sep,2015,Rabies,Lab,,Bovine,2,1,1,0,0,0,,ND,ND,ND,ND,,
Kericho,Kericho West,kapsoit,Kapsoit,35.21192,-0.308331,ND,42265,September,2015,1/17/1900,Sep,2015,Rabies,Lab,,Bovine,4,1,1,0,0,0,,ND,ND,ND,ND,,
kiambu,Githunguri,Githunguri,Githunguri,,,ND,42034,January,2015,1/30/1900,February,2015,Rabies,Lab,ND,Bovine,6,1,1,0,1,0,N/A,ND,ND,ND,ND,,
Kiambu,Kiambaa,Kiambaa,Kawaida,,,ND,42068,March,2015,01/07/1900,March,2015,Rabies,Lab,ND,Canine,1,1,1,0,1,0,N/A,ND,ND,ND,ND,,
Kiambu,Githunguri,Githunguri,Githunguri,,,ND,,July,2015,1/15/1900,July,2015,Rabies,Lab,ND,Bovine,4,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Kiambu,Githunguri,Githunguri,Githunguri,,,ND,,July,2015,01/10/1900,July,2015,Rabies,Lab,ND,Bovine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Kiambu,Ruiru,Ruiru,Ruiru,,,ND,,July,2015,14/11/2017,July,2015,Rabies,Lab,ND,Bovine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
kilifi,kaloleni,mariakani,mitangoni,-3.792299,39.447323,ND,7,12,2015,1/23/1900,December,2015,rabies,Lab,ND,Cani,100,1,0,1,ND,ND,0,ND,"Gumboro-1,700birds",ND,kilifi county,,
Kilifi,Kaloleni,Mariakani,Mariakani,,,ND,41946,March,2015,01/05/1900,March,2015,RVF,Lab,ND,Ovine,11,1,0,0,0,0,N/A,ND,ND,ND,ND,,
Kilifi,Malindi,Sabaki,Milalani,-2.752748,40.165114,ND,,August,2015,16/11/2017,August,2015,Brucellosis,Lab,ND,Caprine,400,7,0,0,0,0,ND,ND,ND,ND,ND,,
Kilifi,Mariakani,Mariakani,Mariakani,39.447323,-3.792299,ND,16/09/2015,September,2015,24/10/2017,Sep,2015,Anthrax,Clinical,,Bovine,0,1,1,0,0,0,,ND,ND,ND,ND,,
Kirinyaga,Kirinyaga East,Njuki-Ini,Njuki-Ini,,,ND,42355,February,2015,03/12/2017,February,2015,Brucellosis,Lab,ND,Bovine,60,2,0,0,0,0,N/A,ND,ND,ND,ND,,
Kirinyaga,Kirinyaga West,Githumbi,Ndia,,,ND,42068,March,2015,,March,2015,Rabies,Lab,ND,Bovine,5,1,1,0,1,0,N/A,ND,ND,ND,ND,,
Kisumu,Nyakach,SE Nyakach,SE Nyakach,,,ND,,June,2015,1/20/1900,June,2015,Anthrax,Clinical,ND,Bovine,6000,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Kitui,Mutomo,Mutomo,Mutomo,,,ND,,July,2015,14/12/2017,July,2015,Rabies,Lab,ND,Bovine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
LAIKIPIA ,Laikipia West,Melwa,Melwa,,,ND,42095,April,2015,1/18/1900,April,2015,Rabies,Clinical,ND,Bovine & canine,1000,5,0,0,0,0,N/A,ND,ND,ND,ND,,
LAIKIPIA ,laikipia North,Umande,Oldaiga,,,ND,,April,2015,1/18/1900,April,2015,Anthrax,Lab,ND,Bovine,1000,10,0,0,0,0,N/A,ND,ND,ND,ND,,
Laikipia ,laikipia North,Oldaiga,Oldaiga,,,ND,,May,2015,1/17/1900,May,2015,Anthrax,Lab,ND,Bovine,1000,10,8,0,8,ND,ND,ND,ND,ND,ND,,
Laikipia ,laikipia North,Umande,Oldaiga,,,ND,,May,2015,01/09/1900,May,2015,Anthrax,Lab,ND,Bovine,1000,10,8,0,8,ND,ND,ND,ND,ND,ND,,
laikipia ,Laikipia West,Thome,-,0.334059,36.698253,ND,,August,2015,01/12/1900,August,2015,Rabies,Clinical,ND,Canine,100,1,1,0,1,0,ND,ND,ND,ND,ND,,
laikipia ,Laikipia West,Thome,-,-0.355136,35.163809,ND,,August,2015,1/27/1900,August,2015,Rabies,Clinical,ND,Dogs,100,1,1,0,1,underway,ND,ND,ND,ND,ND,,
Machakos,Machakos,Machakos Town,Machakos Town,,,ND,41936,March,2015,01/06/1900,March,2015,RVF,Lab,ND,Ovine,94,3,0,0,0,0,N/A,ND,ND,ND,ND,,
Mandera,Mandera south,Elram,Elram,,,ND,42075,March,2015,01/10/1900,March,2015,Brucellosis,Clinical,ND,Goats,5000,100,0,0,0,0,N/A,ND,ND,ND,ND,,
Meru,Imenti Central,Githongo,Githongo,,,ND,42280,March,2015,01/07/1900,March,2015,Anthrax,Clinical,ND,Bovine,56,1,1,0,0,0,N/A,ND,ND,ND,ND,,
Meru,Igembe Central,Kiengu,,,,ND,42250,March,2015,1/25/1900,March,2015,Rabies,Clinical,ND,Canine,6,2,2,0,1,0,N/A,ND,ND,ND,ND,,
Meru,Imenti Central,Githongo,Githongo,,,ND,42280,March,2015,1/14/1900,March,2015,Anthrax,Clinical,ND,Bovine,523,5,0,0,0,0,N/A,ND,ND,ND,ND,,
MERU,Imenti Central,Nthimbiri,Nthimbiri,,,ND,42122,April,2015,1/16/1900,April,2015,Anthrax,Clinical,ND,Bovine,5,2,0,0,0,0,N/A,ND,ND,ND,ND,,
MERU,Imenti North,Igoji,Igoji,,,ND,42118,April,2015,01/06/1900,April,2015,Anthrax,Lab,ND,Bovine,76,1,0,0,0,0,N/A,ND,ND,ND,ND,,
MERU,Igembe Central,Kawiru,Kanake,,,ND,42121,April,2015,1/26/1900,April,2015,Rabies,Clinical,ND,dogs,All,2,0,0,0,0,N/A,ND,ND,ND,ND,,
Meru,IMENTI SOUTH,Igoji,Igoji,,,ND,,June,2015,05/10/2017,June,2015,RABIES,Clinical,ND,BOVINE,ALL,2,2,0,0,ND,ND,ND,ND,ND,ND,,
Mombasa,Mariakani,Mariakani,Mariakani,,,ND,42045,March,2015,04/09/2017,March,2015,Brucellosis,Lab,ND,Bovine,306,5,0,0,0,0,N/A,ND,ND,ND,ND,,
Mombasa,Mariakani,Mariakani,Mariakani,,,ND,42045,March,2015,22/11/2017,March,2015,RVF,Lab,ND,Bovine,208,31,0,0,,0,N/A,ND,ND,ND,ND,,
MURANG'A,KANDARA,MURUKA,KANYIIRINI,-0.926013,37.045997,Village,30,12,2015,,December,2015,ANTHRAX,Clinical,ND,BOVINE,30,3,3,ND,ND,MIXED,NIL,ND,ND,ND,MURANG'A county,,
MURANG'A,MARAGUA,SABASABA,KARIA,-0.912215,36.914703,Village,16,12,2015,02/05/2017,December,2015,ANTHRAX,Clinical,ND,BOVINE,123,1,1,NIL,ND,MIXED,NIL,ND,ND,ND,MURANG'A county,,
MURANG'A,KIGUMO,KAHUMBU ,KAHUMBU,-0.857911,37.07972,Village,17,12,2015,15/09/2017,December,2015,ANTHRAX,Clinical,ND,BOVINE,500,1,1,ND,ND,MIXED,NIL,ND,ND,ND,MURANG'A county,,
MURANG'A,KAHURO,WANGU,WANGU,-0.742324,37.016988,Village,13,12,2015,16/09/2017,December,2015,ANTHRAX,Lab,ND,BOVINE,1000,1,1,ND,ND,MIXED,ND,ND,ND,ND,MURANG'A county,,
MURANG'A,KIGUMO,MUMBU,KAHUMBU,-0.857911,37.07972,Village,21,12,2015,1/25/1900,December,2015,ANTHRAX,Clinical,ND,BOVINE,1000,4,4,ND,ND,MIXED,NIL,ND,ND,ND,MURANG'A county,,
MURANG'A,GATANGA,GATANGA,CHOMO,-0.912215,36.914703,Village,20,12,2015,1/25/1900,December,2015,RABIES,Clinical,ND,BOVINE,50,4,4,ND,ND,MIXED,0,ND,ND,ND,MURANG'A county,,
MURANG'A,MARAGUA,KAMAHUHA,GATHURI,-0.912215,36.914703,Village,22,12,2015,04/11/2017,December,2015,RVF,Clinical,ND,BOVINE,1500,1,0,0,0,MIXED,0,ND,ND,ND,MURANG'A county,,
MURANG'A,KAHURO,WANGU,MUKANGU,-0.711312,37.070534,Village,27,11,2015,09/11/2017,December,2015,ANTHRAX,Lab,GIEMSA STAIN,BOVINE,20,1,0,0,0,MIXED,NIL,ND,ND,ND,MURANG'A county,,
MURANG'A,GATANGA,KIRIANI,KIRIANI,-0.896995,36.922365,Village,30,11,2015,08/11/2017,December,2015,RABIES,Clinical,ND,BOVINE,500,1,1,0,ND,MIXED,0,ND,ND,ND,MURANG'A county,,
MURANG'A,Muranga,Kigumo,Kigumo,,,ND,42040,February,2015,14/12/2017,February,2015,Rabies,Lab,ND,Bovine,35,1,1,0,1,0,N/A,ND,ND,ND,ND,,
MURANG'A,Muranga,Njogu-ini,Njogu-ini,,,ND,42040,February,2015,14/12/2017,February,2015,Rabies,Lab,ND,Bovine,19,1,1,0,1,0,N/A,ND,ND,ND,ND,,
MURANG'A,Murang'a,Murang'a,Murang'a,,,ND,,July,2015,27/12/2017,July,2015,Rabies,Lab,ND,Canine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
MURANG'A,Maragua,Ichagaki,Nginda,37.125366,-0.769826,ND,42256,September,2015,01/01/1900,Sep,2015,Rabies,Clinical,,Bovine,3,1,1,,,,,ND,ND,ND,ND,,
Mwingi,Mwingi Central,Mwingi Central,Mwingi Central,,,ND,,July,2015,1/18/1900,July,2015,Rabies,Lab,ND,Caprine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Nairobi,Langata,Karen,karen,,,ND,42046,February,2015,1/18/1900,February,2015,Rabies,Lab,ND,Feline,1,1,1,0,1,0,N/A,ND,ND,ND,ND,,
Nairobi,Langata,Karen,Karen,,,ND,,July,2015,09/10/2017,July,2015,Rabies,Lab,ND,Canine,3,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Nairobi,Langata,Karen,Karen,,,ND,,July,2015,11/10/2017,July,2015,Rabies,Lab,ND,Canine,4,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Nairobi,Langata,Karen,Karen,,,ND,,July,2015,1/27/1900,July,2015,Rabies,Lab,ND,Canine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Nairobi,Langata,Karen,Karen,,,ND,,July,2015,1/19/1900,July,2015,Rabies,Lab,ND,Canine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Nairobi,Langata,Langata,Langata,,,ND,,July,2015,1/26/1900,July,2015,Rabies,Lab,ND,Canine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Nairobi,Langata,Langata,Langata,,,ND,,July,2015,,July,2015,Rabies,Lab,ND,Ovine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Nakuru,Gilgil,Gilgil,Gilgil,-0.491152,36.327352,ND,29,9,2015,,October,2015,Rabies,PM,Rabies RAT,Canine,,1,0,0,0,ND,0,Vaccinate against Rabies,ND,,Nakuru County,,
Nakuru,Nakuru West,Nakuru West,Nakuru West,,,ND,,March,2015,,March,2015,Rabies ,Lab,ND,Canine,4,1,1,0,1,0,N/A,ND,ND,ND,ND,,
Nakuru,Nakuru East,Lanet,Lanet,,,ND,,July,2015,,July,2015,Anthrax,Lab,ND,Bovine,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,,
Nakuru,Rongai,Langenet,Langenet,,,ND,,July,2015,28/06/2017,July,2015,Anthrax,Lab,ND,Bovine,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,,
Nakuru,Nakuru,Nakuru,Nakuru,,,ND,,July,2015,1/15/1900,July,2015,Anthrax,Lab,ND,Bufallo,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,,
Nakuru,Nakuru,Nakuru,Nakuru,,,ND,,July,2015,01/06/1900,July,2015,Anthrax,Lab,ND,Buffalo,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,,
Nakuru,Nakuru,Nakuru,Nakuru,,,ND,,July,2015,1/18/1900,July,2015,Anthrax,Lab,ND,Buffalo,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,,
Nakuru,Nakuru,Nakuru,Nakuru,,,ND,,July,2015,1/27/1900,July,2015,Anthrax,Lab,ND,Rhino,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,,
Nakuru,Nakuru,Nakuru,Nakuru,,,ND,,July,2015,1/15/1900,July,2015,Anthrax,Lab,ND,Buffalo,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,,
Narok ,transmara East  ,Mogondo ,mogondo ,-1.493366,35.548782,village ,2,11,2015,1/13/1900,December,2015,Anthrax,Clinical,bovine ,Bovine,500,24,18,0,0,Mixed,None ,vaccination ,100,G.O.K,Narok county,,
Narok ,Narok west ,Naikarra ,Nkoroi ,-1.623843,35.570057,village ,2,11,2015,1/26/1900,December,2015,Anthrax,Clinical,bovine Shoats ,Bovine,50000,8,4,2,2,Mixed,150 people ,vaccination ,100,G.O.K,Narok county,,
Nyamira,West Mugirango,Bogichora,Timi,-0.546649,34.904954,Village,14,12,2015,1/30/1900,December,2015,Rabies,Clinical,ND,Canine,2,1,0,0,1,Mixed,0,"Spraying,Treated",0,GOK,Nyamira county,,
NYERI,MATHIRA EAST,KIRIMUKUYU,KIRIMUKUYU,-0.433355,37.07764,VILLAGE,6,12,2015,01/12/1900,December,2015,ANTHRAX,Lab,Giemsa & polychrome staining and microscoy,CAPRINE,15,1,1,N/A,N/A,MIXED,not known,N/A,N/A,GOK,NYERI county,,
Nyeri,Kieni West,Mwinyogo,Mwinyogo,,,ND,42350,February,2015,01/12/1900,February,2015,Brucellosis,Lab,ND,Bovine,60,5,0,0,0,0,N/A,ND,ND,ND,ND,,
Nyeri,Mathira east,Gachehu,Gachehu,,,ND,42354,February,2015,19/10/2017,February,2015,Brucellosis,Lab,ND,Bovine,30,6,0,0,0,0,N/A,ND,ND,ND,ND,,
Nyeri,Teu,Kigogo-ini,Kigogo-ini,,,ND,42055,February,2015,23/10/2017,February,2015,Rabies,Lab,ND,Bovine,25,1,1,0,1,0,N/A,ND,ND,ND,ND,,
Nyeri,Kieni West,Kiguru ,Kiguru,,,ND,,May,2015,12/11/2017,May,2015,Rabies ,Clinical,ND,Canine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Nyeri,Nyeri South ,Kiirini,Kiirini ,,,ND,,May,2015,30/10/2017,May,2015,Rabies,Clinical,ND,Bovine,2,2,0,0,0,ND,ND,ND,ND,ND,ND,,
Nyeri,Mukurweini,Kiandu ,Kiandu ,,,ND,,May,2015,09/11/2017,May,2015,Rabies ,Clinical,ND,Bovine,1,1,1,0,0,ND,ND,ND,ND,ND,ND,,
Nyeri,Mukurweini,muthuthini ,Gikondi ,,,ND,,May,2015,20/12/2017,May,2015,Anthrax ,Clinical,ND,Bovine,0,1,0,0,0,ND,ND,ND,ND,ND,ND,,
Nyeri ,Kieni West,Watuka,,,,ND,,June,2015,1/24/1900,June,2015,Rabies,Clinical,ND,dog,1,1,1,nil,nil,ND,ND,ND,ND,ND,ND,,
Taita Taveta,        voi,Bachuma,Bachuma,,,ND,42045,March,2015,01/07/1900,March,2015,RVF,Lab,ND,Caprine,54,6,0,0,0,0,N/A,ND,ND,ND,ND,,
Taita Taveta,Bachuma,marungu,-,-0.342429,35.301296,ND,,August,2015,,August,2015,RVF,Lab,ND,Ovine,,1,0,0,0,0,ND,ND,ND,ND,ND,,
Taita Taveta,Bachuma,marungu,-,-0.360432,35.048492,ND,,August,2015,,August,2015,RVF,Lab,ND,Caprine,,1,0,0,0,0,ND,ND,ND,ND,ND,,
Taita Taveta,Voi,Voi,Voi,-3.362406,38.57239,ND,,August,2015,13/12/2017,August,2015,Rabies,Lab,ND,Canine(Jackal),1,1,1,0,0,0,ND,ND,ND,ND,ND,,
Tharaka nithi,Igambangombe,Mutino,mutino,-0.299641,37.81971,Village,21,Dec,2015,,December,2015,Rabies,Clinical,N/A,BOVINE,16,1,0,0,0,Mixed,0,vaccination to be done soon,nil,GOK,T/nithi,,
Tharaka nithi,Chuka Igambangombe,Kithunguri,,,,ND,,June,2015,,June,2015,Anthrax,Clinical,ND,Bovine,0,2,0,0,0,ND,ND,ND,ND,ND,ND,,
Trans-Nzoia,Trans-Nzoia,Trans-Nzoia,Trans-Nzoia,,,ND,41892,March,2015,,March,2015,RVF,Lab,ND,Ovine,400,72,0,0,0,0,N/A,ND,ND,ND,ND,,
Uasin Gishu,Uasin Gishu,makongi,makongi,,,ND,42046,March,2015,13/11/2017,March,2015,Brucellosis,Lab,ND,Bovine,72,8,0,0,0,0,N/A,ND,ND,ND,ND,,
