date,county,diseases,diagnosis,hum_cases,catt_cases,cam_cases,goat_cases,shp_cases,sheep_pop,goat_pop,cam_pop,catt_pop,y,hum_pop,hum_incidence,catt_incidence,cam_incidence,goat_incidence,shp_incidence
2021-01-01,Kericho,Brucellosis,Lab confirmed,676,NA,NA,NA,NA,112476,143750,0,483296,2021,24628,27.45,NA,NA,NA,NA
2021-01-01,Kiambu,Brucellosis,Clinically confirmed,76,NA,NA,NA,NA,236778,167194,0,400788,2021,252288,0.3,NA,NA,NA,NA
2021-01-01,Kiambu,Brucellosis,Lab confirmed,477,NA,NA,NA,NA,236778,167194,0,400788,2021,252288,1.89,NA,NA,NA,NA
2021-01-01,Kilifi,Brucellosis,Clinically confirmed,17,NA,NA,NA,NA,112962,1084514,4044,472914,2021,103810,0.16,NA,NA,NA,NA
2021-01-01,Kilifi,Brucellosis,Lab confirmed,78,NA,NA,NA,NA,112962,1084514,4044,472914,2021,103810,0.75,NA,NA,NA,NA
2021-01-01,Kirinyaga,Brucellosis,Clinically confirmed,5,NA,NA,NA,NA,53502,213688,0,232882,2021,26928,0.19,NA,NA,NA,NA
2021-01-01,Kirinyaga,Brucellosis,Lab confirmed,216,NA,NA,NA,NA,53502,213688,0,232882,2021,26928,8.02,NA,NA,NA,NA
2021-01-01,Kisii,Brucellosis,Clinically confirmed,468,NA,NA,NA,NA,22002,113892,0,433716,2021,61612,7.6,NA,NA,NA,NA
2021-01-01,Kisii,Brucellosis,Lab confirmed,2577,NA,NA,NA,NA,22002,113892,0,433716,2021,61612,41.83,NA,NA,NA,NA
2021-01-01,Kisumu,Brucellosis,Clinically confirmed,77,NA,NA,NA,NA,327074,275392,0,485992,2021,116341,0.66,NA,NA,NA,NA
2021-01-01,Kisumu,Brucellosis,Lab confirmed,489,NA,NA,NA,NA,327074,275392,0,485992,2021,116341,4.2,NA,NA,NA,NA
2021-01-01,Kitui,Brucellosis,Clinically confirmed,208,NA,NA,NA,NA,211660,2741120,10404,687264,2021,14566,14.28,NA,NA,NA,NA
2021-01-01,Kitui,Brucellosis,Lab confirmed,786,NA,NA,NA,NA,211660,2741120,10404,687264,2021,14566,53.96,NA,NA,NA,NA
2021-01-01,Laikipia,Brucellosis,Clinically confirmed,204,NA,NA,NA,NA,1227564,805052,15654,540130,2021,14196,14.37,NA,NA,NA,NA
2021-01-01,Laikipia,Brucellosis,Lab confirmed,237,NA,NA,NA,NA,1227564,805052,15654,540130,2021,14196,16.69,NA,NA,NA,NA
2021-01-01,Lamu,Brucellosis,Clinically confirmed,1,NA,NA,NA,NA,84290,195758,250,196642,2021,7570,0.13,NA,NA,NA,NA
2021-01-01,Lamu,Brucellosis,Lab confirmed,15,NA,NA,NA,NA,84290,195758,250,196642,2021,7570,1.98,NA,NA,NA,NA
2021-01-01,Machakos,Brucellosis,Clinically confirmed,178,1,NA,NA,NA,343050,1249782,2946,724702,2021,58547,3.04,1.38,NA,NA,NA
2021-01-01,Machakos,Brucellosis,Lab confirmed,428,NA,NA,NA,NA,343050,1249782,2946,724702,2021,58547,7.31,NA,NA,NA,NA
2021-01-01,Makueni,Brucellosis,Clinically confirmed,22,NA,NA,NA,NA,266230,1599276,2222,651606,2021,11029,1.99,NA,NA,NA,NA
2021-01-01,Makueni,Brucellosis,Lab confirmed,399,NA,NA,NA,NA,266230,1599276,2222,651606,2021,11029,36.18,NA,NA,NA,NA
2021-01-01,Mandera,Brucellosis,Clinically confirmed,35,NA,NA,12,NA,4452066,9797614,3657330,2365978,2021,124514,0.28,NA,NA,1.22,NA
2021-01-01,Mandera,Brucellosis,Lab confirmed,281,NA,NA,NA,NA,4452066,9797614,3657330,2365978,2021,124514,2.26,NA,NA,NA,NA
2021-01-01,Marsabit,Brucellosis,Clinically confirmed,199,NA,NA,NA,NA,1255664,1488950,430468,481472,2021,13950,14.27,NA,NA,NA,NA
2021-01-01,Marsabit,Brucellosis,Lab confirmed,566,NA,NA,NA,NA,1255664,1488950,430468,481472,2021,13950,40.57,NA,NA,NA,NA
2021-01-01,Meru,Brucellosis,Clinically confirmed,75,NA,NA,NA,NA,277542,684396,11464,624368,2021,64722,1.16,NA,NA,NA,NA
2021-01-01,Meru,Brucellosis,Lab confirmed,568,NA,NA,NA,NA,277542,684396,11464,624368,2021,64722,8.78,NA,NA,NA,NA
2021-01-01,Migori,Brucellosis,Clinically confirmed,293,NA,NA,NA,NA,141704,284408,0,646640,2021,40156,7.3,NA,NA,NA,NA
2021-01-01,Migori,Brucellosis,Lab confirmed,1465,NA,NA,NA,NA,141704,284408,0,646640,2021,40156,36.48,NA,NA,NA,NA
2021-01-01,Mombasa,Brucellosis,Clinically confirmed,5,NA,NA,NA,NA,4584,50822,116,21302,2021,278729,0.02,NA,NA,NA,NA
2021-01-01,Mombasa,Brucellosis,Lab confirmed,27,NA,NA,NA,NA,4584,50822,116,21302,2021,278729,0.1,NA,NA,NA,NA
2021-01-01,Murang'a,Brucellosis,Clinically confirmed,15,NA,NA,NA,NA,112950,347526,0,420206,2021,29839,0.5,NA,NA,NA,NA
2021-01-01,Murang'a,Brucellosis,Lab confirmed,117,NA,NA,NA,NA,112950,347526,0,420206,2021,29839,3.92,NA,NA,NA,NA
2021-01-01,Nairobi,Brucellosis,Clinically confirmed,230,NA,NA,NA,NA,38218,56830,0,58658,2021,1291809,0.18,NA,NA,NA,NA
2021-01-01,Nairobi,Brucellosis,Lab confirmed,797,NA,NA,NA,NA,38218,56830,0,58658,2021,1291809,0.62,NA,NA,NA,NA
2021-01-01,Nakuru,Brucellosis,Clinically confirmed,610,NA,NA,NA,NA,1064442,410784,776,793052,2021,218764,2.79,NA,NA,NA,NA
2021-01-01,Nakuru,Brucellosis,Lab confirmed,2829,NA,NA,NA,NA,1064442,410784,776,793052,2021,218764,12.93,NA,NA,NA,NA
2021-01-01,Nandi,Brucellosis,Clinically confirmed,430,NA,NA,NA,NA,195424,70192,0,486836,2021,18838,22.83,NA,NA,NA,NA
2021-01-01,Nandi,Brucellosis,Lab confirmed,805,NA,NA,NA,NA,195424,70192,0,486836,2021,18838,42.73,NA,NA,NA,NA
2021-01-01,Narok,Brucellosis,Clinically confirmed,497,NA,NA,NA,NA,5207084,2031690,3238,2977782,2021,13147,37.8,NA,NA,NA,NA
2021-01-01,Narok,Brucellosis,Lab confirmed,1975,NA,NA,NA,NA,5207084,2031690,3238,2977782,2021,13147,150.22,NA,NA,NA,NA
2021-01-01,Nyamira,Brucellosis,Clinically confirmed,150,NA,NA,NA,NA,23574,78670,0,239250,2021,22726,6.6,NA,NA,NA,NA
2021-01-01,Nyamira,Brucellosis,Lab confirmed,650,NA,NA,NA,NA,23574,78670,0,239250,2021,22726,28.6,NA,NA,NA,NA
2021-01-01,Nyandarua,Brucellosis,Clinically confirmed,126,NA,NA,NA,NA,555524,74018,0,422726,2021,22198,5.68,NA,NA,NA,NA
2021-01-01,Nyandarua,Brucellosis,Lab confirmed,526,NA,NA,NA,NA,555524,74018,0,422726,2021,22198,23.7,NA,NA,NA,NA
2021-01-01,Nyeri,Brucellosis,Clinically confirmed,6,NA,NA,NA,NA,307456,214920,0,329014,2021,26846,0.22,NA,NA,NA,NA
2021-01-01,Nyeri,Brucellosis,Lab confirmed,82,NA,NA,NA,NA,307456,214920,0,329014,2021,26846,3.05,NA,NA,NA,NA
2021-01-01,Samburu,Brucellosis,Clinically confirmed,86,NA,NA,NA,NA,1133544,1433174,96344,571266,2021,3320,25.9,NA,NA,NA,NA
2021-01-01,Samburu,Brucellosis,Lab confirmed,310,NA,NA,NA,NA,1133544,1433174,96344,571266,2021,3320,93.37,NA,NA,NA,NA
2021-01-01,Siaya,Brucellosis,Clinically confirmed,65,NA,NA,NA,NA,266220,326444,0,652362,2021,25575,2.54,NA,NA,NA,NA
2021-01-01,Siaya,Brucellosis,Lab confirmed,192,NA,NA,NA,NA,266220,326444,0,652362,2021,25575,7.51,NA,NA,NA,NA
2021-01-01,Taita Taveta,Brucellosis,Clinically confirmed,24,NA,NA,NA,NA,93070,404226,5260,229628,2021,12474,1.92,NA,NA,NA,NA
2021-01-01,Taita Taveta,Brucellosis,Lab confirmed,85,NA,NA,NA,NA,93070,404226,5260,229628,2021,12474,6.81,NA,NA,NA,NA
2021-01-01,Tana River,Brucellosis,Clinically confirmed,32,NA,NA,NA,NA,896132,1181712,106596,543666,2021,6989,4.58,NA,NA,NA,NA
2021-01-01,Tana River,Brucellosis,Lab confirmed,151,NA,NA,NA,NA,896132,1181712,106596,543666,2021,6989,21.61,NA,NA,NA,NA
2021-01-01,Tharaka Nithi,Brucellosis,Clinically confirmed,176,NA,NA,NA,NA,107632,428434,248,181412,2021,5056,34.81,NA,NA,NA,NA
2021-01-01,Tharaka Nithi,Brucellosis,Lab confirmed,813,NA,NA,NA,NA,107632,428434,248,181412,2021,5056,160.8,NA,NA,NA,NA
2021-01-01,Trans Nzoia,Brucellosis,Clinically confirmed,341,1,NA,NA,NA,272690,56398,0,366936,2021,50089,6.81,2.73,NA,NA,NA
2021-01-01,Trans Nzoia,Brucellosis,Lab confirmed,1583,NA,NA,NA,NA,272690,56398,0,366936,2021,50089,31.6,NA,NA,NA,NA
2021-01-01,Turkana,Brucellosis,Clinically confirmed,250,NA,NA,NA,NA,2107512,3981858,523846,649608,2021,11966,20.89,NA,NA,NA,NA
2021-01-01,Turkana,Brucellosis,Lab confirmed,960,6,NA,11,6,2107512,3981858,523846,649608,2021,11966,80.23,9.24,NA,2.76,2.85
2021-01-01,Uasin Gishu,Brucellosis,Clinically confirmed,242,NA,NA,NA,NA,439850,91708,296,556844,2021,103544,2.34,NA,NA,NA,NA
2021-01-01,Uasin Gishu,Brucellosis,Lab confirmed,1468,NA,NA,NA,NA,439850,91708,296,556844,2021,103544,14.18,NA,NA,NA,NA
2021-01-01,Vihiga,Brucellosis,Clinically confirmed,20,NA,NA,NA,NA,12290,61708,0,253236,2021,30334,0.66,NA,NA,NA,NA
2021-01-01,Vihiga,Brucellosis,Lab confirmed,252,NA,NA,NA,NA,12290,61708,0,253236,2021,30334,8.31,NA,NA,NA,NA
2021-01-01,Wajir,Brucellosis,Clinically confirmed,26,NA,NA,NA,NA,4381276,6396568,2353064,1734462,2021,55023,0.47,NA,NA,NA,NA
2021-01-01,Wajir,Brucellosis,Lab confirmed,195,NA,NA,NA,NA,4381276,6396568,2353064,1734462,2021,55023,3.54,NA,NA,NA,NA
2021-01-01,West Pokot,Brucellosis,Clinically confirmed,475,1,NA,NA,NA,716586,1528350,38778,833676,2021,8385,56.65,1.2,NA,NA,NA
2021-01-01,West Pokot,Brucellosis,Lab confirmed,3038,NA,NA,NA,NA,716586,1528350,38778,833676,2021,8385,362.31,NA,NA,NA,NA
2021-02-01,Baringo,Brucellosis,Clinically confirmed,453,NA,NA,NA,NA,686686,1867454,77000,819692,2021,13174,34.39,NA,NA,NA,NA
2021-02-01,Baringo,Brucellosis,Lab confirmed,1133,NA,NA,NA,NA,686686,1867454,77000,819692,2021,13174,86,NA,NA,NA,NA
2021-02-01,Bomet,Brucellosis,Clinically confirmed,106,NA,NA,NA,NA,160984,152918,0,636418,2021,18432,5.75,NA,NA,NA,NA
2021-02-01,Bomet,Brucellosis,Lab confirmed,712,NA,NA,NA,NA,160984,152918,0,636418,2021,18432,38.63,NA,NA,NA,NA
2021-02-01,Bungoma,Brucellosis,Clinically confirmed,800,NA,NA,NA,NA,156988,219386,0,702518,2021,51457,15.55,NA,NA,NA,NA
2021-02-01,Bungoma,Brucellosis,Lab confirmed,2854,NA,NA,NA,NA,156988,219386,0,702518,2021,51457,55.46,NA,NA,NA,NA
2021-02-01,Busia,Brucellosis,Clinically confirmed,50,NA,NA,NA,NA,43408,164606,0,413256,2021,31257,1.6,NA,NA,NA,NA
2021-02-01,Busia,Brucellosis,Lab confirmed,468,NA,NA,NA,NA,43408,164606,0,413256,2021,31257,14.97,NA,NA,NA,NA
2021-02-01,Elgeyo Marakwet,Brucellosis,Clinically confirmed,640,NA,NA,NA,NA,380062,199852,178,300906,2021,3647,175.49,NA,NA,NA,NA
2021-02-01,Elgeyo Marakwet,Brucellosis,Lab confirmed,1773,NA,NA,NA,NA,380062,199852,178,300906,2021,3647,486.15,NA,NA,NA,NA
2021-02-01,Embu,Brucellosis,Clinically confirmed,61,NA,NA,NA,NA,90492,538266,456,276830,2021,16995,3.59,NA,NA,NA,NA
2021-02-01,Embu,Brucellosis,Lab confirmed,712,NA,NA,NA,NA,90492,538266,456,276830,2021,16995,41.89,NA,NA,NA,NA
2021-02-01,Garissa,Brucellosis,Clinically confirmed,60,NA,NA,NA,NA,5493154,7714584,1632114,2841382,2021,145480,0.41,NA,NA,NA,NA
2021-02-01,Garissa,Brucellosis,Lab confirmed,855,NA,NA,NA,NA,5493154,7714584,1632114,2841382,2021,145480,5.88,NA,NA,NA,NA
2021-02-01,Homa Bay,Brucellosis,Clinically confirmed,117,NA,NA,NA,NA,296748,359110,0,681938,2021,38668,3.03,NA,NA,NA,NA
2021-02-01,Homa Bay,Brucellosis,Lab confirmed,752,NA,NA,NA,NA,296748,359110,0,681938,2021,38668,19.45,NA,NA,NA,NA
2021-02-01,Isiolo,Brucellosis,Clinically confirmed,94,NA,NA,NA,NA,1709450,2060010,297718,543196,2021,10144,9.27,NA,NA,NA,NA
2021-02-01,Isiolo,Brucellosis,Lab confirmed,664,NA,NA,NA,NA,1709450,2060010,297718,543196,2021,10144,65.46,NA,NA,NA,NA
2021-02-01,Kajiado,Brucellosis,Clinically confirmed,187,NA,NA,NA,NA,2241298,1755488,7168,1155420,2021,81361,2.3,NA,NA,NA,NA
2021-02-01,Kajiado,Brucellosis,Lab confirmed,675,NA,NA,NA,NA,2241298,1755488,7168,1155420,2021,81361,8.3,NA,NA,NA,NA
2021-02-01,Kakamega,Brucellosis,Clinically confirmed,154,NA,NA,NA,NA,113768,156288,0,806900,2021,64288,2.4,NA,NA,NA,NA
2021-02-01,Kakamega,Brucellosis,Lab confirmed,620,NA,NA,NA,NA,113768,156288,0,806900,2021,64288,9.64,NA,NA,NA,NA
2021-02-01,Kericho,Brucellosis,Clinically confirmed,282,NA,NA,NA,NA,112476,143750,0,483296,2021,24628,11.45,NA,NA,NA,NA
2021-02-01,Kericho,Brucellosis,Lab confirmed,1163,NA,NA,NA,NA,112476,143750,0,483296,2021,24628,47.22,NA,NA,NA,NA
2021-02-01,Kiambu,Brucellosis,Clinically confirmed,70,NA,NA,NA,NA,236778,167194,0,400788,2021,252288,0.28,NA,NA,NA,NA
2021-02-01,Kiambu,Brucellosis,Lab confirmed,582,NA,NA,NA,NA,236778,167194,0,400788,2021,252288,2.31,NA,NA,NA,NA
2021-02-01,Kilifi,Brucellosis,Clinically confirmed,14,NA,NA,NA,NA,112962,1084514,4044,472914,2021,103810,0.13,NA,NA,NA,NA
2021-02-01,Kilifi,Brucellosis,Lab confirmed,98,NA,NA,NA,NA,112962,1084514,4044,472914,2021,103810,0.94,NA,NA,NA,NA
2021-02-01,Kirinyaga,Brucellosis,Clinically confirmed,7,NA,NA,NA,NA,53502,213688,0,232882,2021,26928,0.26,NA,NA,NA,NA
2021-02-01,Kirinyaga,Brucellosis,Lab confirmed,251,NA,NA,NA,NA,53502,213688,0,232882,2021,26928,9.32,NA,NA,NA,NA
2021-02-01,Kisii,Brucellosis,Clinically confirmed,802,NA,NA,NA,NA,22002,113892,0,433716,2021,61612,13.02,NA,NA,NA,NA
2021-02-01,Kisii,Brucellosis,Lab confirmed,2473,NA,NA,NA,NA,22002,113892,0,433716,2021,61612,40.14,NA,NA,NA,NA
2021-02-01,Kisumu,Brucellosis,Clinically confirmed,119,NA,NA,NA,NA,327074,275392,0,485992,2021,116341,1.02,NA,NA,NA,NA
2021-02-01,Kisumu,Brucellosis,Lab confirmed,646,NA,NA,NA,NA,327074,275392,0,485992,2021,116341,5.55,NA,NA,NA,NA
2021-02-01,Kitui,Brucellosis,Clinically confirmed,127,NA,NA,NA,NA,211660,2741120,10404,687264,2021,14566,8.72,NA,NA,NA,NA
2021-02-01,Kitui,Brucellosis,Lab confirmed,674,NA,NA,NA,NA,211660,2741120,10404,687264,2021,14566,46.27,NA,NA,NA,NA
2021-02-01,Kwale,Brucellosis,Clinically confirmed,75,NA,NA,NA,NA,181230,764820,2192,620868,2021,30076,2.49,NA,NA,NA,NA
2021-02-01,Kwale,Brucellosis,Lab confirmed,26,NA,NA,NA,NA,181230,764820,2192,620868,2021,30076,0.86,NA,NA,NA,NA
2021-02-01,Laikipia,Brucellosis,Clinically confirmed,101,NA,NA,NA,NA,1227564,805052,15654,540130,2021,14196,7.11,NA,NA,NA,NA
2021-02-01,Laikipia,Brucellosis,Lab confirmed,275,NA,NA,NA,NA,1227564,805052,15654,540130,2021,14196,19.37,NA,NA,NA,NA
2021-02-01,Lamu,Brucellosis,Clinically confirmed,10,NA,NA,NA,NA,84290,195758,250,196642,2021,7570,1.32,NA,NA,NA,NA
2021-02-01,Lamu,Brucellosis,Lab confirmed,26,NA,NA,NA,NA,84290,195758,250,196642,2021,7570,3.43,NA,NA,NA,NA
2021-02-01,Machakos,Brucellosis,Clinically confirmed,122,1,NA,NA,NA,343050,1249782,2946,724702,2021,58547,2.08,1.38,NA,NA,NA
2021-02-01,Machakos,Brucellosis,Lab confirmed,409,NA,NA,NA,NA,343050,1249782,2946,724702,2021,58547,6.99,NA,NA,NA,NA
2021-02-01,Makueni,Brucellosis,Clinically confirmed,81,NA,NA,NA,NA,266230,1599276,2222,651606,2021,11029,7.34,NA,NA,NA,NA
2021-02-01,Makueni,Brucellosis,Lab confirmed,278,NA,NA,NA,NA,266230,1599276,2222,651606,2021,11029,25.21,NA,NA,NA,NA
2021-02-01,Mandera,Brucellosis,Clinically confirmed,105,NA,NA,NA,NA,4452066,9797614,3657330,2365978,2021,124514,0.84,NA,NA,NA,NA
2021-02-01,Mandera,Brucellosis,Lab confirmed,353,NA,NA,NA,NA,4452066,9797614,3657330,2365978,2021,124514,2.84,NA,NA,NA,NA
2021-02-01,Marsabit,Brucellosis,Clinically confirmed,289,NA,NA,NA,NA,1255664,1488950,430468,481472,2021,13950,20.72,NA,NA,NA,NA
2021-02-01,Marsabit,Brucellosis,Lab confirmed,535,NA,NA,NA,NA,1255664,1488950,430468,481472,2021,13950,38.35,NA,NA,NA,NA
2021-02-01,Meru,Brucellosis,Clinically confirmed,105,NA,NA,NA,NA,277542,684396,11464,624368,2021,64722,1.62,NA,NA,NA,NA
2021-02-01,Meru,Brucellosis,Lab confirmed,457,NA,NA,NA,NA,277542,684396,11464,624368,2021,64722,7.06,NA,NA,NA,NA
2021-02-01,Migori,Brucellosis,Clinically confirmed,289,NA,NA,NA,NA,141704,284408,0,646640,2021,40156,7.2,NA,NA,NA,NA
2021-02-01,Migori,Brucellosis,Lab confirmed,1947,NA,NA,NA,NA,141704,284408,0,646640,2021,40156,48.49,NA,NA,NA,NA
2021-02-01,Mombasa,Brucellosis,Clinically confirmed,1,NA,NA,NA,NA,4584,50822,116,21302,2021,278729,0,NA,NA,NA,NA
2021-02-01,Mombasa,Brucellosis,Lab confirmed,41,NA,NA,NA,NA,4584,50822,116,21302,2021,278729,0.15,NA,NA,NA,NA
2021-02-01,Murang'a,Brucellosis,Clinically confirmed,26,NA,NA,NA,NA,112950,347526,0,420206,2021,29839,0.87,NA,NA,NA,NA
2021-02-01,Murang'a,Brucellosis,Lab confirmed,97,NA,NA,NA,NA,112950,347526,0,420206,2021,29839,3.25,NA,NA,NA,NA
2021-02-01,Nairobi,Brucellosis,Clinically confirmed,322,NA,NA,NA,NA,38218,56830,0,58658,2021,1291809,0.25,NA,NA,NA,NA
2021-02-01,Nairobi,Brucellosis,Lab confirmed,1122,NA,NA,NA,NA,38218,56830,0,58658,2021,1291809,0.87,NA,NA,NA,NA
2021-02-01,Nakuru,Brucellosis,Clinically confirmed,685,2,NA,NA,NA,1064442,410784,776,793052,2021,218764,3.13,2.52,NA,NA,NA
2021-02-01,Nakuru,Brucellosis,Lab confirmed,2903,NA,NA,NA,NA,1064442,410784,776,793052,2021,218764,13.27,NA,NA,NA,NA
2021-02-01,Nandi,Brucellosis,Clinically confirmed,686,NA,NA,NA,NA,195424,70192,0,486836,2021,18838,36.42,NA,NA,NA,NA
2021-02-01,Nandi,Brucellosis,Lab confirmed,1331,NA,NA,NA,NA,195424,70192,0,486836,2021,18838,70.66,NA,NA,NA,NA
2021-02-01,Narok,Brucellosis,Clinically confirmed,443,NA,NA,NA,NA,5207084,2031690,3238,2977782,2021,13147,33.7,NA,NA,NA,NA
2021-02-01,Narok,Brucellosis,Lab confirmed,1808,NA,NA,NA,NA,5207084,2031690,3238,2977782,2021,13147,137.52,NA,NA,NA,NA
2021-02-01,Nyamira,Brucellosis,Clinically confirmed,157,1,NA,NA,NA,23574,78670,0,239250,2021,22726,6.91,4.18,NA,NA,NA
2021-02-01,Nyamira,Brucellosis,Lab confirmed,698,NA,NA,NA,NA,23574,78670,0,239250,2021,22726,30.71,NA,NA,NA,NA
2021-02-01,Nyandarua,Brucellosis,Clinically confirmed,167,NA,NA,NA,NA,555524,74018,0,422726,2021,22198,7.52,NA,NA,NA,NA
2021-02-01,Nyandarua,Brucellosis,Lab confirmed,572,NA,NA,NA,NA,555524,74018,0,422726,2021,22198,25.77,NA,NA,NA,NA
2021-02-01,Nyeri,Brucellosis,Clinically confirmed,8,NA,NA,NA,NA,307456,214920,0,329014,2021,26846,0.3,NA,NA,NA,NA
2021-02-01,Nyeri,Brucellosis,Lab confirmed,71,NA,NA,NA,NA,307456,214920,0,329014,2021,26846,2.64,NA,NA,NA,NA
2021-02-01,Samburu,Brucellosis,Clinically confirmed,85,NA,NA,NA,NA,1133544,1433174,96344,571266,2021,3320,25.6,NA,NA,NA,NA
2021-02-01,Samburu,Brucellosis,Lab confirmed,592,NA,NA,NA,NA,1133544,1433174,96344,571266,2021,3320,178.31,NA,NA,NA,NA
2021-02-01,Siaya,Brucellosis,Clinically confirmed,46,NA,NA,NA,NA,266220,326444,0,652362,2021,25575,1.8,NA,NA,NA,NA
2021-02-01,Siaya,Brucellosis,Lab confirmed,244,NA,NA,NA,NA,266220,326444,0,652362,2021,25575,9.54,NA,NA,NA,NA
2021-02-01,Taita Taveta,Brucellosis,Clinically confirmed,7,NA,NA,NA,NA,93070,404226,5260,229628,2021,12474,0.56,NA,NA,NA,NA
2021-02-01,Taita Taveta,Brucellosis,Lab confirmed,45,NA,NA,NA,NA,93070,404226,5260,229628,2021,12474,3.61,NA,NA,NA,NA
2021-02-01,Tana River,Brucellosis,Clinically confirmed,22,NA,NA,NA,NA,896132,1181712,106596,543666,2021,6989,3.15,NA,NA,NA,NA
2021-02-01,Tana River,Brucellosis,Lab confirmed,90,NA,NA,NA,NA,896132,1181712,106596,543666,2021,6989,12.88,NA,NA,NA,NA
2021-02-01,Tharaka Nithi,Brucellosis,Clinically confirmed,113,NA,NA,NA,NA,107632,428434,248,181412,2021,5056,22.35,NA,NA,NA,NA
2021-02-01,Tharaka Nithi,Brucellosis,Lab confirmed,651,NA,NA,NA,NA,107632,428434,248,181412,2021,5056,128.76,NA,NA,NA,NA
2021-02-01,Trans Nzoia,Brucellosis,Clinically confirmed,299,NA,NA,NA,NA,272690,56398,0,366936,2021,50089,5.97,NA,NA,NA,NA
2021-02-01,Trans Nzoia,Brucellosis,Lab confirmed,1792,NA,NA,NA,NA,272690,56398,0,366936,2021,50089,35.78,NA,NA,NA,NA
2021-02-01,Turkana,Brucellosis,Clinically confirmed,237,NA,NA,NA,1,2107512,3981858,523846,649608,2021,11966,19.81,NA,NA,NA,0.47
2021-02-01,Turkana,Brucellosis,Lab confirmed,854,NA,NA,NA,NA,2107512,3981858,523846,649608,2021,11966,71.37,NA,NA,NA,NA
2021-02-01,Uasin Gishu,Brucellosis,Clinically confirmed,2637,NA,NA,NA,NA,439850,91708,296,556844,2021,103544,25.47,NA,NA,NA,NA
