date,county,diseases,diagnosis,hum_cases,catt_cases,cam_cases,goat_cases,shp_cases,sheep_pop,goat_pop,cam_pop,catt_pop,y
2021-01-01,Nyandarua,Brucellosis,Clinically confirmed,126,NA,NA,NA,NA,555524,74018,0,422726,2021
2021-01-01,Nyandarua,Brucellosis,Lab confirmed,526,NA,NA,NA,NA,555524,74018,0,422726,2021
2021-01-01,Nyeri,Brucellosis,Clinically confirmed,6,NA,NA,NA,NA,307456,214920,0,329014,2021
2021-01-01,Nyeri,Brucellosis,Lab confirmed,82,NA,NA,NA,NA,307456,214920,0,329014,2021
2021-01-01,Samburu,Brucellosis,Clinically confirmed,86,NA,NA,NA,NA,1133544,1433174,96344,571266,2021
2021-01-01,Samburu,Brucellosis,Lab confirmed,310,NA,NA,NA,NA,1133544,1433174,96344,571266,2021
2021-01-01,Siaya,Brucellosis,Clinically confirmed,65,NA,NA,NA,NA,266220,326444,0,652362,2021
2021-01-01,Siaya,Brucellosis,Lab confirmed,192,NA,NA,NA,NA,266220,326444,0,652362,2021
2021-01-01,Taita Taveta,Brucellosis,Clinically confirmed,24,NA,NA,NA,NA,93070,404226,5260,229628,2021
2021-01-01,Taita Taveta,Brucellosis,Lab confirmed,85,NA,NA,NA,NA,93070,404226,5260,229628,2021
2021-01-01,Tana River,Brucellosis,Clinically confirmed,32,NA,NA,NA,NA,896132,1181712,106596,543666,2021
2021-01-01,Tana River,Brucellosis,Lab confirmed,151,NA,NA,NA,NA,896132,1181712,106596,543666,2021
2021-01-01,Tharaka Nithi,Brucellosis,Clinically confirmed,176,NA,NA,NA,NA,107632,428434,248,181412,2021
2021-01-01,Tharaka Nithi,Brucellosis,Lab confirmed,813,NA,NA,NA,NA,107632,428434,248,181412,2021
2021-01-01,Trans Nzoia,Brucellosis,Clinically confirmed,341,1,NA,NA,NA,272690,56398,0,366936,2021
2021-01-01,Trans Nzoia,Brucellosis,Lab confirmed,1583,NA,NA,NA,NA,272690,56398,0,366936,2021
2021-01-01,Turkana,Brucellosis,Clinically confirmed,250,NA,NA,NA,NA,2107512,3981858,523846,649608,2021
2021-01-01,Turkana,Brucellosis,Lab confirmed,960,6,NA,11,6,2107512,3981858,523846,649608,2021
2021-01-01,Uasin Gishu,Brucellosis,Clinically confirmed,242,NA,NA,NA,NA,439850,91708,296,556844,2021
2021-01-01,Uasin Gishu,Brucellosis,Lab confirmed,1468,NA,NA,NA,NA,439850,91708,296,556844,2021
2021-01-01,Vihiga,Brucellosis,Clinically confirmed,20,NA,NA,NA,NA,12290,61708,0,253236,2021
2021-01-01,Vihiga,Brucellosis,Lab confirmed,252,NA,NA,NA,NA,12290,61708,0,253236,2021
2021-01-01,Wajir,Brucellosis,Clinically confirmed,26,NA,NA,NA,NA,4381276,6396568,2353064,1734462,2021
2021-01-01,Wajir,Brucellosis,Lab confirmed,195,NA,NA,NA,NA,4381276,6396568,2353064,1734462,2021
2021-01-01,West Pokot,Brucellosis,Clinically confirmed,475,1,NA,NA,NA,716586,1528350,38778,833676,2021
2021-01-01,West Pokot,Brucellosis,Lab confirmed,3038,NA,NA,NA,NA,716586,1528350,38778,833676,2021
2021-02-01,Baringo,Brucellosis,Clinically confirmed,453,NA,NA,NA,NA,686686,1867454,77000,819692,2021
2021-02-01,Baringo,Brucellosis,Lab confirmed,1133,NA,NA,NA,NA,686686,1867454,77000,819692,2021
2021-02-01,Bomet,Brucellosis,Clinically confirmed,106,NA,NA,NA,NA,160984,152918,0,636418,2021
2021-02-01,Bomet,Brucellosis,Lab confirmed,712,NA,NA,NA,NA,160984,152918,0,636418,2021
2021-02-01,Bungoma,Brucellosis,Clinically confirmed,800,NA,NA,NA,NA,156988,219386,0,702518,2021
2021-02-01,Bungoma,Brucellosis,Lab confirmed,2854,NA,NA,NA,NA,156988,219386,0,702518,2021
2021-02-01,Busia,Brucellosis,Clinically confirmed,50,NA,NA,NA,NA,43408,164606,0,413256,2021
2021-02-01,Busia,Brucellosis,Lab confirmed,468,NA,NA,NA,NA,43408,164606,0,413256,2021
2021-02-01,Elgeyo Marakwet,Brucellosis,Clinically confirmed,640,NA,NA,NA,NA,380062,199852,178,300906,2021
2021-02-01,Elgeyo Marakwet,Brucellosis,Lab confirmed,1773,NA,NA,NA,NA,380062,199852,178,300906,2021
2021-02-01,Embu,Brucellosis,Clinically confirmed,61,NA,NA,NA,NA,90492,538266,456,276830,2021
2021-02-01,Embu,Brucellosis,Lab confirmed,712,NA,NA,NA,NA,90492,538266,456,276830,2021
2021-02-01,Garissa,Brucellosis,Clinically confirmed,60,NA,NA,NA,NA,5493154,7714584,1632114,2841382,2021
2021-02-01,Garissa,Brucellosis,Lab confirmed,855,NA,NA,NA,NA,5493154,7714584,1632114,2841382,2021
2021-02-01,Homa Bay,Brucellosis,Clinically confirmed,117,NA,NA,NA,NA,296748,359110,0,681938,2021
2021-02-01,Homa Bay,Brucellosis,Lab confirmed,752,NA,NA,NA,NA,296748,359110,0,681938,2021
2021-02-01,Isiolo,Brucellosis,Clinically confirmed,94,NA,NA,NA,NA,1709450,2060010,297718,543196,2021
2021-02-01,Isiolo,Brucellosis,Lab confirmed,664,NA,NA,NA,NA,1709450,2060010,297718,543196,2021
2021-02-01,Kajiado,Brucellosis,Clinically confirmed,187,NA,NA,NA,NA,2241298,1755488,7168,1155420,2021
2021-02-01,Kajiado,Brucellosis,Lab confirmed,675,NA,NA,NA,NA,2241298,1755488,7168,1155420,2021
2021-02-01,Kakamega,Brucellosis,Clinically confirmed,154,NA,NA,NA,NA,113768,156288,0,806900,2021
2021-02-01,Kakamega,Brucellosis,Lab confirmed,620,NA,NA,NA,NA,113768,156288,0,806900,2021
2021-02-01,Kericho,Brucellosis,Clinically confirmed,282,NA,NA,NA,NA,112476,143750,0,483296,2021
2021-02-01,Kericho,Brucellosis,Lab confirmed,1163,NA,NA,NA,NA,112476,143750,0,483296,2021
2021-02-01,Kiambu,Brucellosis,Clinically confirmed,70,NA,NA,NA,NA,236778,167194,0,400788,2021
2021-02-01,Kiambu,Brucellosis,Lab confirmed,582,NA,NA,NA,NA,236778,167194,0,400788,2021
2021-02-01,Kilifi,Brucellosis,Clinically confirmed,14,NA,NA,NA,NA,112962,1084514,4044,472914,2021
2021-02-01,Kilifi,Brucellosis,Lab confirmed,98,NA,NA,NA,NA,112962,1084514,4044,472914,2021
2021-02-01,Kirinyaga,Brucellosis,Clinically confirmed,7,NA,NA,NA,NA,53502,213688,0,232882,2021
2021-02-01,Kirinyaga,Brucellosis,Lab confirmed,251,NA,NA,NA,NA,53502,213688,0,232882,2021
2021-02-01,Kisii,Brucellosis,Clinically confirmed,802,NA,NA,NA,NA,22002,113892,0,433716,2021
2021-02-01,Kisii,Brucellosis,Lab confirmed,2473,NA,NA,NA,NA,22002,113892,0,433716,2021
2021-02-01,Kisumu,Brucellosis,Clinically confirmed,119,NA,NA,NA,NA,327074,275392,0,485992,2021
2021-02-01,Kisumu,Brucellosis,Lab confirmed,646,NA,NA,NA,NA,327074,275392,0,485992,2021
2021-02-01,Kitui,Brucellosis,Clinically confirmed,127,NA,NA,NA,NA,211660,2741120,10404,687264,2021
2021-02-01,Kitui,Brucellosis,Lab confirmed,674,NA,NA,NA,NA,211660,2741120,10404,687264,2021
2021-02-01,Kwale,Brucellosis,Clinically confirmed,75,NA,NA,NA,NA,181230,764820,2192,620868,2021
2021-02-01,Kwale,Brucellosis,Lab confirmed,26,NA,NA,NA,NA,181230,764820,2192,620868,2021
2021-02-01,Laikipia,Brucellosis,Clinically confirmed,101,NA,NA,NA,NA,1227564,805052,15654,540130,2021
2021-02-01,Laikipia,Brucellosis,Lab confirmed,275,NA,NA,NA,NA,1227564,805052,15654,540130,2021
2021-02-01,Lamu,Brucellosis,Clinically confirmed,10,NA,NA,NA,NA,84290,195758,250,196642,2021
2021-02-01,Lamu,Brucellosis,Lab confirmed,26,NA,NA,NA,NA,84290,195758,250,196642,2021
2021-02-01,Machakos,Brucellosis,Clinically confirmed,122,1,NA,NA,NA,343050,1249782,2946,724702,2021
2021-02-01,Machakos,Brucellosis,Lab confirmed,409,NA,NA,NA,NA,343050,1249782,2946,724702,2021
2021-02-01,Makueni,Brucellosis,Clinically confirmed,81,NA,NA,NA,NA,266230,1599276,2222,651606,2021
2021-02-01,Makueni,Brucellosis,Lab confirmed,278,NA,NA,NA,NA,266230,1599276,2222,651606,2021
2021-02-01,Mandera,Brucellosis,Clinically confirmed,105,NA,NA,NA,NA,4452066,9797614,3657330,2365978,2021
2021-02-01,Mandera,Brucellosis,Lab confirmed,353,NA,NA,NA,NA,4452066,9797614,3657330,2365978,2021
2021-02-01,Marsabit,Brucellosis,Clinically confirmed,289,NA,NA,NA,NA,1255664,1488950,430468,481472,2021
2021-02-01,Marsabit,Brucellosis,Lab confirmed,535,NA,NA,NA,NA,1255664,1488950,430468,481472,2021
2021-02-01,Meru,Brucellosis,Clinically confirmed,105,NA,NA,NA,NA,277542,684396,11464,624368,2021
2021-02-01,Meru,Brucellosis,Lab confirmed,457,NA,NA,NA,NA,277542,684396,11464,624368,2021
2021-02-01,Migori,Brucellosis,Clinically confirmed,289,NA,NA,NA,NA,141704,284408,0,646640,2021
2021-02-01,Migori,Brucellosis,Lab confirmed,1947,NA,NA,NA,NA,141704,284408,0,646640,2021
2021-02-01,Mombasa,Brucellosis,Clinically confirmed,1,NA,NA,NA,NA,4584,50822,116,21302,2021
2021-02-01,Mombasa,Brucellosis,Lab confirmed,41,NA,NA,NA,NA,4584,50822,116,21302,2021
2021-02-01,Murang'a,Brucellosis,Clinically confirmed,26,NA,NA,NA,NA,112950,347526,0,420206,2021
2021-02-01,Murang'a,Brucellosis,Lab confirmed,97,NA,NA,NA,NA,112950,347526,0,420206,2021
2021-02-01,Nairobi,Brucellosis,Clinically confirmed,322,NA,NA,NA,NA,38218,56830,0,58658,2021
2021-02-01,Nairobi,Brucellosis,Lab confirmed,1122,NA,NA,NA,NA,38218,56830,0,58658,2021
2021-02-01,Nakuru,Brucellosis,Clinically confirmed,685,2,NA,NA,NA,1064442,410784,776,793052,2021
2021-02-01,Nakuru,Brucellosis,Lab confirmed,2903,NA,NA,NA,NA,1064442,410784,776,793052,2021
2021-02-01,Nandi,Brucellosis,Clinically confirmed,686,NA,NA,NA,NA,195424,70192,0,486836,2021
2021-02-01,Nandi,Brucellosis,Lab confirmed,1331,NA,NA,NA,NA,195424,70192,0,486836,2021
2021-02-01,Narok,Brucellosis,Clinically confirmed,443,NA,NA,NA,NA,5207084,2031690,3238,2977782,2021
2021-02-01,Narok,Brucellosis,Lab confirmed,1808,NA,NA,NA,NA,5207084,2031690,3238,2977782,2021
2021-02-01,Nyamira,Brucellosis,Clinically confirmed,157,1,NA,NA,NA,23574,78670,0,239250,2021
2021-02-01,Nyamira,Brucellosis,Lab confirmed,698,NA,NA,NA,NA,23574,78670,0,239250,2021
2021-02-01,Nyandarua,Brucellosis,Clinically confirmed,167,NA,NA,NA,NA,555524,74018,0,422726,2021
2021-02-01,Nyandarua,Brucellosis,Lab confirmed,572,NA,NA,NA,NA,555524,74018,0,422726,2021
2021-02-01,Nyeri,Brucellosis,Clinically confirmed,8,NA,NA,NA,NA,307456,214920,0,329014,2021
2021-02-01,Nyeri,Brucellosis,Lab confirmed,71,NA,NA,NA,NA,307456,214920,0,329014,2021
2021-02-01,Samburu,Brucellosis,Clinically confirmed,85,NA,NA,NA,NA,1133544,1433174,96344,571266,2021
2021-02-01,Samburu,Brucellosis,Lab confirmed,592,NA,NA,NA,NA,1133544,1433174,96344,571266,2021
2021-02-01,Siaya,Brucellosis,Clinically confirmed,46,NA,NA,NA,NA,266220,326444,0,652362,2021
2021-02-01,Siaya,Brucellosis,Lab confirmed,244,NA,NA,NA,NA,266220,326444,0,652362,2021
2021-02-01,Taita Taveta,Brucellosis,Clinically confirmed,7,NA,NA,NA,NA,93070,404226,5260,229628,2021
2021-02-01,Taita Taveta,Brucellosis,Lab confirmed,45,NA,NA,NA,NA,93070,404226,5260,229628,2021
2021-02-01,Tana River,Brucellosis,Clinically confirmed,22,NA,NA,NA,NA,896132,1181712,106596,543666,2021
2021-02-01,Tana River,Brucellosis,Lab confirmed,90,NA,NA,NA,NA,896132,1181712,106596,543666,2021
2021-02-01,Tharaka Nithi,Brucellosis,Clinically confirmed,113,NA,NA,NA,NA,107632,428434,248,181412,2021
2021-02-01,Tharaka Nithi,Brucellosis,Lab confirmed,651,NA,NA,NA,NA,107632,428434,248,181412,2021
2021-02-01,Trans Nzoia,Brucellosis,Clinically confirmed,299,NA,NA,NA,NA,272690,56398,0,366936,2021
2021-02-01,Trans Nzoia,Brucellosis,Lab confirmed,1792,NA,NA,NA,NA,272690,56398,0,366936,2021
2021-02-01,Turkana,Brucellosis,Clinically confirmed,237,NA,NA,NA,1,2107512,3981858,523846,649608,2021
2021-02-01,Turkana,Brucellosis,Lab confirmed,854,NA,NA,NA,NA,2107512,3981858,523846,649608,2021
2021-02-01,Uasin Gishu,Brucellosis,Clinically confirmed,2637,NA,NA,NA,NA,439850,91708,296,556844,2021
2021-02-01,Uasin Gishu,Brucellosis,Lab confirmed,1812,NA,NA,NA,NA,439850,91708,296,556844,2021
2021-02-01,Vihiga,Brucellosis,Clinically confirmed,40,NA,NA,NA,NA,12290,61708,0,253236,2021
2021-02-01,Vihiga,Brucellosis,Lab confirmed,363,NA,NA,NA,NA,12290,61708,0,253236,2021
2021-02-01,Wajir,Brucellosis,Clinically confirmed,26,NA,NA,NA,NA,4381276,6396568,2353064,1734462,2021
2021-02-01,Wajir,Brucellosis,Lab confirmed,555,NA,NA,NA,NA,4381276,6396568,2353064,1734462,2021
2021-02-01,West Pokot,Brucellosis,Clinically confirmed,520,NA,NA,NA,NA,716586,1528350,38778,833676,2021
2021-02-01,West Pokot,Brucellosis,Lab confirmed,3126,NA,NA,NA,NA,716586,1528350,38778,833676,2021
2021-03-01,Baringo,Brucellosis,Clinically confirmed,413,NA,NA,NA,NA,686686,1867454,77000,819692,2021
2021-03-01,Baringo,Brucellosis,Lab confirmed,1609,NA,NA,NA,NA,686686,1867454,77000,819692,2021
2021-03-01,Bomet,Brucellosis,Clinically confirmed,151,NA,NA,NA,NA,160984,152918,0,636418,2021
2021-03-01,Bomet,Brucellosis,Lab confirmed,710,NA,NA,NA,NA,160984,152918,0,636418,2021
2021-03-01,Bungoma,Brucellosis,Clinically confirmed,1067,NA,NA,NA,NA,156988,219386,0,702518,2021
2021-03-01,Bungoma,Brucellosis,Lab confirmed,4036,NA,NA,NA,NA,156988,219386,0,702518,2021
2021-03-01,Busia,Brucellosis,Clinically confirmed,66,NA,NA,NA,NA,43408,164606,0,413256,2021
2021-03-01,Busia,Brucellosis,Lab confirmed,479,NA,NA,NA,NA,43408,164606,0,413256,2021
2021-03-01,Elgeyo Marakwet,Brucellosis,Clinically confirmed,575,NA,NA,NA,NA,380062,199852,178,300906,2021
2021-03-01,Elgeyo Marakwet,Brucellosis,Lab confirmed,1571,NA,NA,NA,NA,380062,199852,178,300906,2021
2021-03-01,Embu,Brucellosis,Clinically confirmed,74,NA,NA,NA,NA,90492,538266,456,276830,2021
2021-03-01,Embu,Brucellosis,Lab confirmed,734,NA,NA,NA,NA,90492,538266,456,276830,2021
2021-03-01,Garissa,Brucellosis,Clinically confirmed,157,2,NA,5,8,5493154,7714584,1632114,2841382,2021
2021-03-01,Garissa,Brucellosis,Lab confirmed,746,NA,NA,NA,NA,5493154,7714584,1632114,2841382,2021
2021-03-01,Homa Bay,Brucellosis,Clinically confirmed,173,NA,NA,NA,NA,296748,359110,0,681938,2021
2021-03-01,Homa Bay,Brucellosis,Lab confirmed,876,NA,NA,NA,NA,296748,359110,0,681938,2021
2021-03-01,Isiolo,Brucellosis,Clinically confirmed,1046,NA,NA,NA,NA,1709450,2060010,297718,543196,2021
2021-03-01,Isiolo,Brucellosis,Lab confirmed,952,NA,NA,NA,NA,1709450,2060010,297718,543196,2021
2021-03-01,Kajiado,Brucellosis,Clinically confirmed,198,NA,NA,NA,NA,2241298,1755488,7168,1155420,2021
2021-03-01,Kajiado,Brucellosis,Lab confirmed,1512,NA,NA,NA,NA,2241298,1755488,7168,1155420,2021
2021-03-01,Kakamega,Brucellosis,Clinically confirmed,206,1,NA,NA,NA,113768,156288,0,806900,2021
2021-03-01,Kakamega,Brucellosis,Lab confirmed,663,NA,NA,NA,NA,113768,156288,0,806900,2021
2021-03-01,Kericho,Brucellosis,Clinically confirmed,476,NA,NA,NA,NA,112476,143750,0,483296,2021
2021-03-01,Kericho,Brucellosis,Lab confirmed,2269,NA,NA,NA,NA,112476,143750,0,483296,2021
2021-03-01,Kiambu,Brucellosis,Clinically confirmed,63,NA,NA,NA,NA,236778,167194,0,400788,2021
2021-03-01,Kiambu,Brucellosis,Lab confirmed,647,NA,NA,NA,NA,236778,167194,0,400788,2021
2021-03-01,Kilifi,Brucellosis,Clinically confirmed,38,NA,NA,NA,NA,112962,1084514,4044,472914,2021
2021-03-01,Kilifi,Brucellosis,Lab confirmed,206,NA,NA,NA,NA,112962,1084514,4044,472914,2021
2021-03-01,Kirinyaga,Brucellosis,Clinically confirmed,8,NA,NA,NA,NA,53502,213688,0,232882,2021
2021-03-01,Kirinyaga,Brucellosis,Lab confirmed,277,NA,NA,NA,NA,53502,213688,0,232882,2021
2021-03-01,Kisii,Brucellosis,Clinically confirmed,849,NA,NA,NA,NA,22002,113892,0,433716,2021
2021-03-01,Kisii,Brucellosis,Lab confirmed,3626,NA,NA,NA,NA,22002,113892,0,433716,2021
2021-03-01,Kisumu,Brucellosis,Clinically confirmed,79,NA,NA,NA,NA,327074,275392,0,485992,2021
2021-03-01,Kisumu,Brucellosis,Lab confirmed,887,NA,NA,NA,NA,327074,275392,0,485992,2021
2021-03-01,Kitui,Brucellosis,Clinically confirmed,131,NA,NA,1,NA,211660,2741120,10404,687264,2021
2021-03-01,Kitui,Brucellosis,Lab confirmed,1192,NA,NA,NA,NA,211660,2741120,10404,687264,2021
2021-03-01,Kwale,Brucellosis,Clinically confirmed,52,NA,NA,NA,NA,181230,764820,2192,620868,2021
2021-03-01,Kwale,Brucellosis,Lab confirmed,22,NA,NA,NA,NA,181230,764820,2192,620868,2021
2021-03-01,Laikipia,Brucellosis,Clinically confirmed,97,NA,NA,NA,NA,1227564,805052,15654,540130,2021
2021-03-01,Laikipia,Brucellosis,Lab confirmed,278,NA,NA,NA,NA,1227564,805052,15654,540130,2021
2021-03-01,Lamu,Brucellosis,Clinically confirmed,2,NA,NA,NA,NA,84290,195758,250,196642,2021
2021-03-01,Lamu,Brucellosis,Lab confirmed,9,NA,NA,NA,NA,84290,195758,250,196642,2021
2021-03-01,Machakos,Brucellosis,Clinically confirmed,129,1,NA,NA,NA,343050,1249782,2946,724702,2021
2021-03-01,Machakos,Brucellosis,Lab confirmed,376,NA,NA,NA,NA,343050,1249782,2946,724702,2021
2021-03-01,Makueni,Brucellosis,Clinically confirmed,26,NA,NA,NA,NA,266230,1599276,2222,651606,2021
2021-03-01,Makueni,Brucellosis,Lab confirmed,272,NA,NA,NA,NA,266230,1599276,2222,651606,2021
2021-03-01,Mandera,Brucellosis,Clinically confirmed,140,NA,NA,NA,NA,4452066,9797614,3657330,2365978,2021
2021-03-01,Mandera,Brucellosis,Lab confirmed,474,NA,NA,NA,NA,4452066,9797614,3657330,2365978,2021
2021-03-01,Marsabit,Brucellosis,Clinically confirmed,345,NA,NA,NA,NA,1255664,1488950,430468,481472,2021
2021-03-01,Marsabit,Brucellosis,Lab confirmed,359,NA,NA,NA,NA,1255664,1488950,430468,481472,2021
2021-03-01,Meru,Brucellosis,Clinically confirmed,58,NA,NA,NA,NA,277542,684396,11464,624368,2021
2021-03-01,Meru,Brucellosis,Lab confirmed,332,NA,NA,NA,NA,277542,684396,11464,624368,2021
2021-03-01,Migori,Brucellosis,Clinically confirmed,308,NA,NA,NA,NA,141704,284408,0,646640,2021
2021-03-01,Migori,Brucellosis,Lab confirmed,2078,NA,NA,NA,NA,141704,284408,0,646640,2021
