county,lag,Model type,variable,estimate,std.error,statistic,p.value,conf.low,conf.high,r_squared,AIC,adj_r_squared,significance
Baringo,2,Individual,Cattle incidence,22.436,81.494,0.275,0.784,-111.623,156.494,0.0257952656841181,1305.48336932402,-0.003,Not Significant
Baringo,2,Individual,Goat Incidence,69.553,61.888,1.124,0.264,-32.253,171.358,0.0257952656841181,1305.48336932402,-0.003,Not Significant
Baringo,3,Individual,(Intercept),18.6,48.143,0.386,0.7,-60.595,97.796,0.019635501027877,1294.76790433099,-0.01,Not Significant
Baringo,3,Individual,Camel incidence,,,,,,,0.019635501027877,1294.76790433099,-0.01,
Baringo,3,Individual,Sheep incidence,66.911,264.552,0.253,0.801,-368.276,502.099,0.019635501027877,1294.76790433099,-0.01,Not Significant
Baringo,3,Individual,Cattle incidence,-29.001,82.148,-0.353,0.725,-164.134,106.133,0.019635501027877,1294.76790433099,-0.01,Not Significant
Baringo,3,Individual,Goat Incidence,8.944,62.384,0.143,0.886,-93.679,111.566,0.019635501027877,1294.76790433099,-0.01,Not Significant
Baringo,4,Individual,(Intercept),18.992,47.955,0.396,0.693,-59.893,97.877,0.0462305727693024,1280.56990532891,0.017,Not Significant
Baringo,4,Individual,Camel incidence,,,,,,,0.0462305727693024,1280.56990532891,0.017,
Baringo,4,Individual,Sheep incidence,-412.221,262.244,-1.572,0.119,-843.613,19.171,0.0462305727693024,1280.56990532891,0.017,Not Significant
Baringo,4,Individual,Cattle incidence,135.354,81.432,1.662,0.1,1.398,269.309,0.0462305727693024,1280.56990532891,0.017,Significant
Baringo,4,Individual,Goat Incidence,97.374,61.84,1.575,0.119,-4.353,199.101,0.0462305727693024,1280.56990532891,0.017,Not Significant
Baringo,5,Individual,(Intercept),18.555,48.639,0.381,0.704,-61.456,98.566,0.0380799037336845,1270.08905538358,0.009,Not Significant
Baringo,5,Individual,Camel incidence,,,,,,,0.0380799037336845,1270.08905538358,0.009,
Baringo,5,Individual,Sheep incidence,71.503,264.692,0.27,0.788,-363.915,506.922,0.0380799037336845,1270.08905538358,0.009,Not Significant
Baringo,5,Individual,Cattle incidence,-19.981,82.192,-0.243,0.808,-155.187,115.225,0.0380799037336845,1270.08905538358,0.009,Not Significant
Baringo,5,Individual,Goat Incidence,-111.342,62.418,-1.784,0.078,-214.018,-8.665,0.0380799037336845,1270.08905538358,0.009,Significant
Baringo,6,Individual,(Intercept),19.451,49.877,0.39,0.697,-62.597,101.499,0.0082745820153636,1261.77837717358,-0.022,Not Significant
Baringo,6,Individual,Camel incidence,,,,,,,0.0082745820153636,1261.77837717358,-0.022,
Baringo,6,Individual,Sheep incidence,-67.045,270.098,-0.248,0.804,-511.356,377.266,0.0082745820153636,1261.77837717358,-0.022,Not Significant
Baringo,6,Individual,Cattle incidence,26.143,83.87,0.312,0.756,-111.824,164.11,0.0082745820153636,1261.77837717358,-0.022,Not Significant
Baringo,6,Individual,Goat Incidence,17.186,63.692,0.27,0.788,-87.588,121.96,0.0082745820153636,1261.77837717358,-0.022,Not Significant
Bomet,0,Combined,(Intercept),0.688,22.534,0.031,0.976,-36.38,37.756,0.00015687066143879,1170.58503984259,-0.009,Not Significant
Bomet,0,Combined,Total animal incidence,-0.959,7.468,-0.128,0.898,-13.243,11.326,0.00015687066143879,1170.58503984259,-0.009,Not Significant
Bomet,1,Combined,(Intercept),0.683,22.626,0.03,0.976,-36.537,37.903,0.0108509796795316,1159.55651443312,0.001,Not Significant
Bomet,1,Combined,Total animal incidence,7.972,7.464,1.068,0.288,-4.306,20.25,0.0108509796795316,1159.55651443312,0.001,Not Significant
Bomet,2,Combined,(Intercept),-0.37,22.902,-0.016,0.987,-38.043,37.303,0.00369018048753525,1150.19906792405,-0.006,Not Significant
Bomet,2,Combined,Total animal incidence,-4.644,7.519,-0.618,0.538,-17.012,7.724,0.00369018048753525,1150.19906792405,-0.006,Not Significant
Bomet,3,Combined,(Intercept),0.555,23.061,0.024,0.981,-37.381,38.49,0.00746036912591099,1139.7319070271,-0.002,Not Significant
Bomet,3,Combined,Total animal incidence,-6.598,7.535,-0.876,0.383,-18.993,5.797,0.00746036912591099,1139.7319070271,-0.002,Not Significant
Bomet,4,Combined,(Intercept),0.608,23.33,0.026,0.979,-37.77,38.985,0.00383481518871412,1130.20082619063,-0.006,Not Significant
Bomet,4,Combined,Total animal incidence,4.73,7.586,0.624,0.534,-7.749,17.209,0.00383481518871412,1130.20082619063,-0.006,Not Significant
Bomet,5,Combined,(Intercept),0.722,23.426,0.031,0.975,-37.813,39.257,0.0151987208476124,1119.10867241728,0.005,Not Significant
Bomet,5,Combined,Total animal incidence,-9.417,7.58,-1.242,0.217,-21.886,3.052,0.0151987208476124,1119.10867241728,0.005,Not Significant
Bomet,6,Combined,(Intercept),-0.785,23.599,-0.033,0.974,-39.606,38.036,0.0161858138558693,1108.67340150652,0.006,Not Significant
Bomet,6,Combined,Total animal incidence,9.698,7.599,1.276,0.205,-2.802,22.198,0.0161858138558693,1108.67340150652,0.006,Not Significant
Bomet,0,Individual,(Intercept),0.688,22.625,0.03,0.976,-36.53,37.906,0.00161274654706962,1172.42912313882,-0.018,Not Significant
Bomet,0,Individual,Camel incidence,,,,,,,0.00161274654706962,1172.42912313882,-0.018,
Bomet,0,Individual,Sheep incidence,,,,,,,0.00161274654706962,1172.42912313882,-0.018,
Bomet,0,Individual,Cattle incidence,-3.107,9.309,-0.334,0.739,-18.42,12.207,0.00161274654706962,1172.42912313882,-0.018,Not Significant
Bomet,0,Individual,Goat Incidence,3.011,12.653,0.238,0.812,-17.804,23.825,0.00161274654706962,1172.42912313882,-0.018,Not Significant
Bomet,1,Individual,(Intercept),0.683,22.512,0.03,0.976,-36.349,37.715,0.0302493049205483,1159.45708108666,0.011,Not Significant
Bomet,1,Individual,Camel incidence,,,,,,,0.0302493049205483,1159.45708108666,0.011,
Bomet,1,Individual,Sheep incidence,,,,,,,0.0302493049205483,1159.45708108666,0.011,
Bomet,1,Individual,Cattle incidence,15.814,9.219,1.715,0.089,0.649,30.979,0.0302493049205483,1159.45708108666,0.011,Significant
Bomet,1,Individual,Goat Incidence,-6.516,12.531,-0.52,0.604,-27.129,14.097,0.0302493049205483,1159.45708108666,0.011,Not Significant
Bomet,2,Individual,(Intercept),-0.37,22.974,-0.016,0.987,-38.163,37.422,0.00707583803202282,1151.84164955221,-0.012,Not Significant
Bomet,2,Individual,Camel incidence,,,,,,,0.00707583803202282,1151.84164955221,-0.012,
Bomet,2,Individual,Sheep incidence,,,,,,,0.00707583803202282,1151.84164955221,-0.012,
Bomet,2,Individual,Cattle incidence,-7.917,9.364,-0.845,0.4,-23.32,7.487,0.00707583803202282,1151.84164955221,-0.012,Not Significant
Bomet,2,Individual,Goat Incidence,1.402,12.728,0.11,0.912,-19.535,22.339,0.00707583803202282,1151.84164955221,-0.012,Not Significant
Bomet,3,Individual,(Intercept),0.555,23.149,0.024,0.981,-37.526,38.636,0.00965653035786884,1141.50153453418,-0.01,Not Significant
Bomet,3,Individual,Camel incidence,,,,,,,0.00965653035786884,1141.50153453418,-0.01,
Bomet,3,Individual,Sheep incidence,,,,,,,0.00965653035786884,1141.50153453418,-0.01,
Bomet,3,Individual,Cattle incidence,-9.231,9.39,-0.983,0.328,-24.678,6.216,0.00965653035786884,1141.50153453418,-0.01,Not Significant
Bomet,3,Individual,Goat Incidence,-1.732,12.763,-0.136,0.892,-22.728,19.264,0.00965653035786884,1141.50153453418,-0.01,Not Significant
Bomet,4,Individual,(Intercept),0.608,23.422,0.026,0.979,-37.921,39.136,0.00591050355296661,1131.98598335564,-0.014,Not Significant
Bomet,4,Individual,Camel incidence,,,,,,,0.00591050355296661,1131.98598335564,-0.014,
Bomet,4,Individual,Sheep incidence,,,,,,,0.00591050355296661,1131.98598335564,-0.014,
Bomet,4,Individual,Cattle incidence,7.29,9.455,0.771,0.442,-8.263,22.844,0.00591050355296661,1131.98598335564,-0.014,Not Significant
Bomet,4,Individual,Goat Incidence,0,12.851,0,1,-21.14,21.14,0.00591050355296661,1131.98598335564,-0.014,Not Significant
Bomet,5,Individual,(Intercept),0.722,23.393,0.031,0.975,-37.76,39.203,0.0277765265008158,1119.79754557557,0.008,Not Significant
Bomet,5,Individual,Camel incidence,,,,,,,0.0277765265008158,1119.79754557557,0.008,
Bomet,5,Individual,Sheep incidence,,,,,,,0.0277765265008158,1119.79754557557,0.008,
Bomet,5,Individual,Cattle incidence,-15.719,9.397,-1.673,0.098,-31.178,-0.261,0.0277765265008158,1119.79754557557,0.008,Significant
Bomet,5,Individual,Goat Incidence,2.227,12.773,0.174,0.862,-18.785,23.239,0.0277765265008158,1119.79754557557,0.008,Not Significant
Bomet,6,Individual,(Intercept),-0.785,23.601,-0.033,0.974,-39.608,38.038,0.0260210140860857,1109.65862262804,0.006,Not Significant
Bomet,6,Individual,Camel incidence,,,,,,,0.0260210140860857,1109.65862262804,0.006,
Bomet,6,Individual,Sheep incidence,,,,,,,0.0260210140860857,1109.65862262804,0.006,
Bomet,6,Individual,Cattle incidence,15.259,9.434,1.617,0.109,-0.26,30.779,0.0260210140860857,1109.65862262804,0.006,Not Significant
Bomet,6,Individual,Goat Incidence,-0.577,12.823,-0.045,0.964,-21.672,20.517,0.0260210140860857,1109.65862262804,0.006,Not Significant
Bungoma,0,Combined,(Intercept),18.578,30.258,0.614,0.541,-31.197,68.353,0.00354538162915863,1233.66398680849,-0.006,Not Significant
Bungoma,0,Combined,Total animal incidence,-3.623,5.927,-0.611,0.542,-13.373,6.127,0.00354538162915863,1233.66398680849,-0.006,Not Significant
Bungoma,1,Combined,(Intercept),18.639,30.607,0.609,0.544,-31.709,68.988,3.57898951296789e-05,1223.55728585494,-0.01,Not Significant
Bungoma,1,Combined,Total animal incidence,0.373,6.111,0.061,0.951,-9.68,10.425,3.57898951296789e-05,1223.55728585494,-0.01,Not Significant
Bungoma,2,Combined,(Intercept),18.269,30.865,0.592,0.555,-32.505,69.042,0.00172198040002673,1212.86986401528,-0.008,Not Significant
Bungoma,2,Combined,Total animal incidence,2.651,6.289,0.422,0.674,-7.694,12.996,0.00172198040002673,1212.86986401528,-0.008,Not Significant
Bungoma,3,Combined,(Intercept),18.819,31.211,0.603,0.548,-32.523,70.161,2.57229891709648e-05,1202.52140097055,-0.01,Not Significant
Bungoma,3,Combined,Total animal incidence,-0.348,6.802,-0.051,0.959,-11.538,10.841,2.57229891709648e-05,1202.52140097055,-0.01,Not Significant
Bungoma,4,Combined,(Intercept),19.018,31.593,0.602,0.549,-32.953,70.988,9.35094826519959e-05,1191.97670793407,-0.01,Not Significant
Bungoma,4,Combined,Total animal incidence,0.718,7.385,0.097,0.923,-11.431,12.867,9.35094826519959e-05,1191.97670793407,-0.01,Not Significant
Bungoma,5,Combined,(Intercept),23.698,31.411,0.754,0.452,-27.974,75.37,0.029721585405775,1178.37864514867,0.02,Not Significant
Bungoma,5,Combined,Total animal incidence,-12.824,7.327,-1.75,0.083,-24.878,-0.771,0.029721585405775,1178.37864514867,0.02,Significant
Bungoma,6,Combined,(Intercept),19.967,32.067,0.623,0.535,-32.784,72.717,0.00369021147989668,1170.55311782896,-0.006,Not Significant
Bungoma,6,Combined,Total animal incidence,-5.429,8.965,-0.606,0.546,-20.176,9.318,0.00369021147989668,1170.55311782896,-0.006,Not Significant
Bungoma,0,Individual,(Intercept),18.578,29.177,0.637,0.526,-29.418,66.574,0.0911490488739679,1227.81758069751,0.065,Not Significant
Bungoma,0,Individual,Camel incidence,,,,,,,0.0911490488739679,1227.81758069751,0.065,
Bungoma,0,Individual,Sheep incidence,-32.694,15.253,-2.143,0.034,-57.785,-7.603,0.0911490488739679,1227.81758069751,0.065,Significant
Bungoma,0,Individual,Cattle incidence,31.957,12.694,2.517,0.013,11.075,52.84,0.0911490488739679,1227.81758069751,0.065,Significant
Bungoma,0,Individual,Goat Incidence,-13.368,6.622,-2.019,0.046,-24.261,-2.475,0.0911490488739679,1227.81758069751,0.065,Significant
Bungoma,1,Individual,(Intercept),21.903,30.128,0.727,0.469,-27.657,71.463,0.0519835946542862,1221.90243165577,0.024,Not Significant
Bungoma,1,Individual,Camel incidence,,,,,,,0.0519835946542862,1221.90243165577,0.024,
Bungoma,1,Individual,Sheep incidence,16.987,16.073,1.057,0.293,-9.452,43.427,0.0519835946542862,1221.90243165577,0.024,Not Significant
Bungoma,1,Individual,Cattle incidence,-30.005,14.863,-2.019,0.046,-54.454,-5.556,0.0519835946542862,1221.90243165577,0.024,Significant
Bungoma,1,Individual,Goat Incidence,7.751,6.796,1.14,0.257,-3.429,18.93,0.0519835946542862,1221.90243165577,0.024,Not Significant
Bungoma,2,Individual,(Intercept),18.269,30.64,0.596,0.552,-32.134,68.672,0.0353374390256963,1213.27325157324,0.007,Not Significant
Bungoma,2,Individual,Camel incidence,,,,,,,0.0353374390256963,1213.27325157324,0.007,
Bungoma,2,Individual,Sheep incidence,28.849,17.034,1.694,0.093,0.828,56.87,0.0353374390256963,1213.27325157324,0.007,Significant
Bungoma,2,Individual,Cattle incidence,-28.216,17.952,-1.572,0.119,-57.747,1.315,0.0353374390256963,1213.27325157324,0.007,Not Significant
Bungoma,2,Individual,Goat Incidence,6.484,6.889,0.941,0.349,-4.848,17.817,0.0353374390256963,1213.27325157324,0.007,Not Significant
Bungoma,3,Individual,(Intercept),21.591,30.639,0.705,0.483,-28.811,71.992,0.0585324347866955,1200.25127650975,0.03,Not Significant
Bungoma,3,Individual,Camel incidence,,,,,,,0.0585324347866955,1200.25127650975,0.03,
Bungoma,3,Individual,Sheep incidence,-40.789,20.088,-2.03,0.045,-73.834,-7.744,0.0585324347866955,1200.25127650975,0.03,Significant
Bungoma,3,Individual,Cattle incidence,39.508,17.85,2.213,0.029,10.146,68.871,0.0585324347866955,1200.25127650975,0.03,Significant
Bungoma,3,Individual,Goat Incidence,-7.264,7.3,-0.995,0.322,-19.273,4.744,0.0585324347866955,1200.25127650975,0.03,Not Significant
Bungoma,4,Individual,(Intercept),22.15,31.521,0.703,0.484,-29.702,74.002,0.0281085931125271,1193.04968604769,-0.001,Not Significant
Bungoma,4,Individual,Camel incidence,,,,,,,0.0281085931125271,1193.04968604769,-0.001,
Bungoma,4,Individual,Sheep incidence,46.254,28.386,1.629,0.106,-0.441,92.949,0.0281085931125271,1193.04968604769,-0.001,Not Significant
Bungoma,4,Individual,Cattle incidence,-30.076,24.936,-1.206,0.231,-71.096,10.944,0.0281085931125271,1193.04968604769,-0.001,Not Significant
Bungoma,4,Individual,Goat Incidence,-1.463,7.882,-0.186,0.853,-14.429,11.503,0.0281085931125271,1193.04968604769,-0.001,Not Significant
Bungoma,5,Individual,(Intercept),24.693,31.806,0.776,0.439,-27.627,77.013,0.0335698706232892,1181.97329183931,0.004,Not Significant
Bungoma,5,Individual,Camel incidence,,,,,,,0.0335698706232892,1181.97329183931,0.004,
Bungoma,5,Individual,Sheep incidence,-31.521,33.602,-0.938,0.351,-86.796,23.753,0.0335698706232892,1181.97329183931,0.004,Not Significant
Bungoma,5,Individual,Cattle incidence,-5.966,25.106,-0.238,0.813,-47.265,35.333,0.0335698706232892,1181.97329183931,0.004,Not Significant
Bungoma,5,Individual,Goat Incidence,-10.072,8.963,-1.124,0.264,-24.816,4.673,0.0335698706232892,1181.97329183931,0.004,Not Significant
Bungoma,6,Individual,(Intercept),23.819,31.686,0.752,0.454,-28.306,75.943,0.0407888892075935,1168.72046529077,0.021,Not Significant
Bungoma,6,Individual,Camel incidence,,,,,,,0.0407888892075935,1168.72046529077,0.021,
Bungoma,6,Individual,Sheep incidence,,,,,,,0.0407888892075935,1168.72046529077,0.021,
Bungoma,6,Individual,Cattle incidence,-50.98,25.012,-2.038,0.044,-92.124,-9.835,0.0407888892075935,1168.72046529077,0.021,Significant
Bungoma,6,Individual,Goat Incidence,-2.989,8.929,-0.335,0.739,-17.678,11.7,0.0407888892075935,1168.72046529077,0.021,Not Significant
Busia,0,Combined,(Intercept),4.85,92.209,0.053,0.958,-146.834,156.533,2.53953024686468e-05,1472.08462578718,-0.009,Not Significant
Busia,0,Combined,Total animal incidence,-1.959,37.929,-0.052,0.959,-64.352,60.435,2.53953024686468e-05,1472.08462578718,-0.009,Not Significant
Busia,1,Combined,(Intercept),4.493,93.139,0.048,0.962,-148.721,157.707,6.46379126643747e-06,1459.37982827514,-0.01,Not Significant
Busia,1,Combined,Total animal incidence,1.008,38.859,0.026,0.979,-62.915,64.93,6.46379126643747e-06,1459.37982827514,-0.01,Not Significant
Busia,2,Combined,(Intercept),0.033,93.849,0,1,-154.349,154.415,8.81693643051677e-05,1446.40150501211,-0.01,Not Significant
Busia,2,Combined,Total animal incidence,-4.037,42.365,-0.095,0.924,-73.727,65.652,8.81693643051677e-05,1446.40150501211,-0.01,Not Significant
Busia,3,Combined,(Intercept),0.472,94.736,0.005,0.996,-155.368,156.313,0.000587197703532357,1433.62440036734,-0.009,Not Significant
Busia,3,Combined,Total animal incidence,10.419,42.561,0.245,0.807,-59.593,80.431,0.000587197703532357,1433.62440036734,-0.009,Not Significant
Busia,4,Combined,(Intercept),5.254,95.943,0.055,0.956,-152.572,163.081,0.000542691370490637,1420.79683785019,-0.009,Not Significant
Busia,4,Combined,Total animal incidence,-13.068,55.802,-0.234,0.815,-104.862,78.727,0.000542691370490637,1420.79683785019,-0.009,Not Significant
Busia,5,Combined,(Intercept),4.898,96.579,0.051,0.96,-153.974,163.77,6.07398217805064e-05,1408.08040375556,-0.01,Not Significant
Busia,5,Combined,Total animal incidence,7.854,100.772,0.078,0.938,-157.916,173.624,6.07398217805064e-05,1408.08040375556,-0.01,Not Significant
Busia,6,Combined,(Intercept),4.885,97.538,0.05,0.96,-155.566,165.336,0.000186102712517081,1395.31693443303,-0.01,Not Significant
Busia,6,Combined,Total animal incidence,-13.748,101.273,-0.136,0.892,-180.343,152.847,0.000186102712517081,1395.31693443303,-0.01,Not Significant
Busia,0,Individual,(Intercept),4.85,92.209,0.053,0.958,-146.834,156.533,2.53953024686468e-05,1472.08462578718,-0.009,Not Significant
Busia,0,Individual,Camel incidence,,,,,,,2.53953024686468e-05,1472.08462578718,-0.009,
Busia,0,Individual,Sheep incidence,,,,,,,2.53953024686468e-05,1472.08462578718,-0.009,
Busia,0,Individual,Cattle incidence,-1.959,37.929,-0.052,0.959,-64.352,60.435,2.53953024686468e-05,1472.08462578718,-0.009,Not Significant
Busia,0,Individual,Goat Incidence,,,,,,,2.53953024686468e-05,1472.08462578718,-0.009,
Busia,1,Individual,(Intercept),4.493,93.139,0.048,0.962,-148.721,157.707,6.46379126643747e-06,1459.37982827514,-0.01,Not Significant
Busia,1,Individual,Camel incidence,,,,,,,6.46379126643747e-06,1459.37982827514,-0.01,
Busia,1,Individual,Sheep incidence,,,,,,,6.46379126643747e-06,1459.37982827514,-0.01,
Busia,1,Individual,Cattle incidence,1.008,38.859,0.026,0.979,-62.915,64.93,6.46379126643747e-06,1459.37982827514,-0.01,Not Significant
Busia,1,Individual,Goat Incidence,,,,,,,6.46379126643747e-06,1459.37982827514,-0.01,
Busia,2,Individual,(Intercept),0.033,93.849,0,1,-154.349,154.415,8.81693643051677e-05,1446.40150501211,-0.01,Not Significant
Busia,2,Individual,Camel incidence,,,,,,,8.81693643051677e-05,1446.40150501211,-0.01,
Busia,2,Individual,Sheep incidence,,,,,,,8.81693643051677e-05,1446.40150501211,-0.01,
Busia,2,Individual,Cattle incidence,-4.037,42.365,-0.095,0.924,-73.727,65.652,8.81693643051677e-05,1446.40150501211,-0.01,Not Significant
Busia,2,Individual,Goat Incidence,,,,,,,8.81693643051677e-05,1446.40150501211,-0.01,
Busia,3,Individual,(Intercept),0.472,94.736,0.005,0.996,-155.368,156.313,0.000587197703532357,1433.62440036734,-0.009,Not Significant
Busia,3,Individual,Camel incidence,,,,,,,0.000587197703532357,1433.62440036734,-0.009,
Busia,3,Individual,Sheep incidence,,,,,,,0.000587197703532357,1433.62440036734,-0.009,
Busia,3,Individual,Cattle incidence,10.419,42.561,0.245,0.807,-59.593,80.431,0.000587197703532357,1433.62440036734,-0.009,Not Significant
Busia,3,Individual,Goat Incidence,,,,,,,0.000587197703532357,1433.62440036734,-0.009,
Busia,4,Individual,(Intercept),5.254,95.943,0.055,0.956,-152.572,163.081,0.000542691370490637,1420.79683785019,-0.009,Not Significant
Busia,4,Individual,Camel incidence,,,,,,,0.000542691370490637,1420.79683785019,-0.009,
Busia,4,Individual,Sheep incidence,,,,,,,0.000542691370490637,1420.79683785019,-0.009,
Busia,4,Individual,Cattle incidence,-13.068,55.802,-0.234,0.815,-104.862,78.727,0.000542691370490637,1420.79683785019,-0.009,Not Significant
Busia,4,Individual,Goat Incidence,,,,,,,0.000542691370490637,1420.79683785019,-0.009,
Busia,5,Individual,(Intercept),4.898,96.579,0.051,0.96,-153.974,163.77,6.07398217805064e-05,1408.08040375556,-0.01,Not Significant
Busia,5,Individual,Camel incidence,,,,,,,6.07398217805064e-05,1408.08040375556,-0.01,
Busia,5,Individual,Sheep incidence,,,,,,,6.07398217805064e-05,1408.08040375556,-0.01,
Busia,5,Individual,Cattle incidence,7.854,100.772,0.078,0.938,-157.916,173.624,6.07398217805064e-05,1408.08040375556,-0.01,Not Significant
Busia,5,Individual,Goat Incidence,,,,,,,6.07398217805064e-05,1408.08040375556,-0.01,
Busia,6,Individual,(Intercept),4.885,97.538,0.05,0.96,-155.566,165.336,0.000186102712517081,1395.31693443303,-0.01,Not Significant
Busia,6,Individual,Camel incidence,,,,,,,0.000186102712517081,1395.31693443303,-0.01,
Busia,6,Individual,Sheep incidence,,,,,,,0.000186102712517081,1395.31693443303,-0.01,
Busia,6,Individual,Cattle incidence,-13.748,101.273,-0.136,0.892,-180.343,152.847,0.000186102712517081,1395.31693443303,-0.01,Not Significant
Busia,6,Individual,Goat Incidence,,,,,,,0.000186102712517081,1395.31693443303,-0.01,
Elgeyo Marakwet,0,Combined,(Intercept),25.7,155.896,0.165,0.869,-230.749,282.15,0.000197360953814862,1584.50033074041,-0.009,Not Significant
Elgeyo Marakwet,0,Combined,Total animal incidence,14.26,99.05,0.144,0.886,-148.676,177.196,0.000197360953814862,1584.50033074041,-0.009,Not Significant
Elgeyo Marakwet,1,Combined,(Intercept),24.916,157.248,0.158,0.874,-233.757,283.589,0.00185827584677835,1570.56435814527,-0.008,Not Significant
Elgeyo Marakwet,1,Combined,Total animal incidence,-43.756,99.441,-0.44,0.661,-207.336,119.824,0.00185827584677835,1570.56435814527,-0.008,Not Significant
Elgeyo Marakwet,2,Combined,(Intercept),25.266,158.515,0.159,0.874,-235.492,286.024,0.00492954768974558,1556.47547906248,-0.005,Not Significant
Elgeyo Marakwet,2,Combined,Total animal incidence,71.267,99.768,0.714,0.477,-92.852,235.385,0.00492954768974558,1556.47547906248,-0.005,Not Significant
Elgeyo Marakwet,3,Combined,(Intercept),27.102,160.238,0.169,0.866,-236.49,290.693,0.0025120142426175,1542.94262280646,-0.007,Not Significant
Elgeyo Marakwet,3,Combined,Total animal incidence,-50.87,100.371,-0.507,0.613,-215.98,114.24,0.0025120142426175,1542.94262280646,-0.007,Not Significant
Elgeyo Marakwet,4,Combined,(Intercept),23.689,162.124,0.146,0.884,-243.006,290.383,1.99326753593307e-05,1529.36017676814,-0.01,Not Significant
Elgeyo Marakwet,4,Combined,Total animal incidence,-4.967,110.709,-0.045,0.964,-187.084,177.149,1.99326753593307e-05,1529.36017676814,-0.01,Not Significant
Elgeyo Marakwet,5,Combined,(Intercept),22.043,163.468,0.135,0.893,-246.862,290.948,0.00120638497146135,1515.43741650879,-0.009,Not Significant
Elgeyo Marakwet,5,Combined,Total animal incidence,-43.163,124.195,-0.348,0.729,-247.463,161.138,0.00120638497146135,1515.43741650879,-0.009,Not Significant
Elgeyo Marakwet,6,Combined,(Intercept),20.809,164.952,0.126,0.9,-250.536,292.154,0.00297920354933424,1501.44885556673,-0.007,Not Significant
